id,title,verdict,field_with_diff,dataset_value,source_value,confidence_score,notes
business_00087,"Adolf Aufrecht, Juwelier, Goldwaren- & Juwelengeschäft",MATCH,(all),,,1.0,exact
business_00088,Adolf Auser & Co,MATCH,(all),,,1.0,exact
business_00089,Adolf Badt,MATCH,(all),,,1.0,exact
business_00090,Adolf Baermann,MATCH,(all),,,1.0,exact
business_00091,Adolf Ballan,MATCH,(all),,,1.0,exact
business_00092,Adolf Becker,FIELD_DIFF,original_address,"Oberwallstr. 20, Berlin","Oberwallstr. 20a, Berlin",0.65,address_differs
business_00093,Adolf Bergmann Metallwarenfabrik,MATCH,(all),,,1.0,exact
business_00094,Adolf Bernstein,MATCH,(all),,,1.0,exact
business_00095,Adolf Biberfeld,MATCH,(all),,,1.0,exact
business_00096,Adolf Bielschowski,MATCH,(all),,,1.0,exact
business_00097,Adolf Bloch,MATCH,(all),,,1.0,exact
business_00098,Adolf Boese,MATCH,(all),,,1.0,exact
business_00099,Adolf Brieger,MATCH,(all),,,1.0,exact
business_00100,Adolf Brill,FIELD_DIFF,original_address,"Wittelsbacherstr. 28, Berlin","Wittelsbacherstr. 28a, Berlin",0.65,address_differs
business_00101,Adolf Brotzen,MATCH,(all),,,1.0,exact
business_00102,Adolf Bruck,MATCH,(all),,,1.0,exact
business_00103,Adolf Brünn Nachf.,MATCH,(all),,,1.0,exact
business_00104,Adolf Cohn Agentur und Commission,FIELD_DIFF,original_address,"Jakobstr. 81/82, Berlin","Alte Jakobstr. 81/82, Berlin",0.65,address_differs
business_00105,Adolf Cohn Agenturgeschäft,MATCH,(all),,,1.0,exact
business_00106,Adolf Cohn Architekt & Baugeschäft,MATCH,(all),,,1.0,exact
business_00107,Adolf Cohn jr.,FIELD_DIFF,original_address,"e Frankfurter Str. 144, Berlin","Große Frankfurter Str. 144, Berlin",0.65,address_differs
business_00108,Adolf Dannemann,MATCH,(all),,,1.0,exact
business_00109,Adolf David,MATCH,(all),,,1.0,exact
business_00110,Adolf Dresler,MATCH,(all),,,1.0,exact
business_00111,Adolf Elias,MATCH,(all),,,1.0,exact
business_00112,Adolf Ephraim,MATCH,(all),,,1.0,exact
business_00113,Adolf Feinberg,MATCH,(all),,,1.0,exact
business_00114,Adolf Fertig,MATCH,(all),,,1.0,exact
business_00115,Adolf Fraenkel & Co,MATCH,(all),,,1.0,exact
business_00116,Adolf Frankenstein,MATCH,(all),,,1.0,exact
business_00117,Adolf Friedmann,MATCH,(all),,,1.0,exact
business_00118,Adolf Fuchs,MATCH,(all),,,1.0,exact
business_00119,Adolf Förster,MATCH,(all),,,1.0,exact
business_00120,Adolf Fürst,MATCH,(all),,,1.0,exact
business_00121,Adolf Gabriel,MATCH,(all),,,1.0,exact
business_00122,Adolf Galanty,MATCH,(all),,,1.0,exact
business_00123,Adolf Gehr,FIELD_DIFF,original_address,"Hausvogteiplatz 11, Berlin","Hausvogteiplatz 11a, Berlin",0.65,address_differs
business_00124,Adolf Gerber (Schuhhaus Gerber),MATCH,(all),,,1.0,exact
business_00125,Adolf Goldberg,MATCH,(all),,,1.0,exact
business_00126,Adolf Grünstein,FIELD_DIFF,original_address,"Prinzenstr. 34, Berlin","Prinzenstr. 34 I, Berlin",0.65,address_differs
business_00127,Adolf H. Neumann,FIELD_DIFF,original_address,"Burgstr. 25, Berlin","Burgstr. 25 (Börse), Berlin",0.65,address_differs
business_00128,Adolf Hanau,MATCH,(all),,,1.0,exact
business_00129,Adolf Heidemann,MATCH,(all),,,1.0,exact
business_00130,Adolf Heinau,MATCH,(all),,,1.0,exact
business_00131,Adolf Herbst,MATCH,(all),,,1.0,exact
business_00132,Adolf Himmelweit,MATCH,(all),,,1.0,exact
business_00133,Adolf Hirsch,MATCH,(all),,,1.0,exact
business_00134,Adolf Hirschfeld,MATCH,(all),,,1.0,exact
business_00135,Adolf Hirschfeldt,MATCH,(all),,,1.0,exact
business_00136,Adolf Hochwald,MATCH,(all),,,1.0,exact
business_00137,Adolf Hojda,MATCH,(all),,,1.0,exact
business_00138,Adolf Hollaender,MATCH,(all),,,1.0,exact
business_00139,Adolf Illgen Sächsische Möbelfabrik,MATCH,(all),,,1.0,exact
business_00140,Adolf Jurmann Großhandlung Elektrotechnischer Bedarfsartikel,MATCH,(all),,,1.0,exact
business_00141,Adolf Kahn,MATCH,(all),,,1.0,exact
business_00142,Adolf Kaplan,MATCH,(all),,,1.0,exact
business_00143,Adolf Kempler,MATCH,(all),,,1.0,exact
business_00144,Adolf Kessel,MATCH,(all),,,1.0,exact
business_00145,Adolf Kolatacz,FIELD_DIFF,original_address,"enburger Str. 72, Berlin","Weißenburger Str. 72, Berlin",0.65,address_differs
business_00146,"Adolf Kosterlitz, Materialwaren",MATCH,(all),,,1.0,exact
business_00147,Adolf Krause,MATCH,(all),,,1.0,exact
business_00148,Adolf Kreisel,MATCH,(all),,,1.0,exact
business_00149,Adolf Kreutzberger Inhaber Joseph Danziger,MATCH,(all),,,1.0,exact
business_00150,Adolf Kuba,MATCH,(all),,,1.0,exact
business_00151,Adolf Kuttner,MATCH,(all),,,1.0,exact
business_00152,Adolf Lacher,MATCH,(all),,,1.0,exact
business_00153,Adolf Lemchen & Günther,MATCH,(all),,,1.0,exact
business_00154,Adolf Lent,MATCH,(all),,,1.0,exact
business_00155,Adolf Levy,MATCH,(all),,,1.0,exact
business_00156,Adolf Lewin Uhrmacher und Juwelier GmbH,MATCH,(all),,,1.0,exact
business_00157,Adolf Lewinsohn,MATCH,(all),,,1.0,exact
business_00158,Adolf Lieser,MATCH,(all),,,1.0,exact
business_00159,Adolf Lipschitz,MATCH,(all),,,1.0,exact
business_00160,Adolf Loebmann,MATCH,(all),,,1.0,exact
business_00161,"Adolf Löbl Obst, Gemüse und Südfrüchte",MATCH,(all),,,1.0,exact
business_00162,Adolf Löwenstern,MATCH,(all),,,1.0,exact
business_00163,Adolf Maaß Fabrik antiseptischer Artikel,FIELD_DIFF,original_address,"Jakobstr. 129, Berlin","Alte Jakobstr. 129, Berlin",0.65,address_differs
business_00164,Adolf Marcus,MATCH,(all),,,1.0,exact
business_00165,Adolf Marienthal,MATCH,(all),,,1.0,exact
business_00166,Adolf Meyer Mützenfabrication,MATCH,(all),,,1.0,exact
business_00167,Adolf Meyer jr.,MATCH,(all),,,1.0,exact
business_00168,Adolf Münz,MATCH,(all),,,1.0,exact
business_00169,Adolf Neumann Engros-Haus für Futterstoffe & Schneiderartikel,FIELD_DIFF,original_address,"Brückenstr. 5, Berlin","Brückenstr. 5b, Berlin",0.65,address_differs
business_00170,Adolf Pelz,MATCH,(all),,,1.0,exact
business_00171,Adolf Pergamenter,MATCH,(all),,,1.0,exact
business_00172,Adolf Peters,MATCH,(all),,,1.0,exact
business_00173,"Adolf Petrikowski, in Firma Peteko",MATCH,(all),,,1.0,exact
business_00174,Adolf Petrowsky,MATCH,(all),,,1.0,exact
business_00175,Adolf Praiß,MATCH,(all),,,1.0,exact
business_00176,Adolf Preiß,FIELD_DIFF,original_address,"Jakobstr. 6, Berlin","Neue Jakobstr. 6/ 8, Berlin",0.65,address_differs
business_00177,Adolf Privin,MATCH,(all),,,1.0,exact
business_00178,Adolf Rewald,MATCH,(all),,,1.0,exact
business_00179,Adolf Rosenau & Co,MATCH,(all),,,1.0,exact
business_00180,Adolf Rosentreter,MATCH,(all),,,1.0,exact
business_00181,Adolf Rosenzweig,MATCH,(all),,,1.0,exact
business_00182,Adolf Rothenberg,FIELD_DIFF,original_address,"Bismarckstr. 10, Berlin","Bismarckstr. 10 I, Berlin",0.65,address_differs
business_00183,Adolf Rothschild,MATCH,(all),,,1.0,exact
business_00184,Adolf Roß,MATCH,(all),,,1.0,exact
business_00185,Adolf Sachs & Co,MATCH,(all),,,1.0,exact
business_00186,Adolf Salz & Co GmbH,MATCH,(all),,,1.0,exact
business_00187,Adolf Sandheim,MATCH,(all),,,1.0,exact
business_00188,Adolf Schimmel,MATCH,(all),,,1.0,exact
business_00189,Adolf Schneider Koks und Kohlen engros,MATCH,(all),,,1.0,exact
business_00190,Adolf Schrubski,FIELD_DIFF,original_address,"Albrechtstr. 53, Berlin","Albrechtstr. 53b, Berlin",0.65,address_differs
business_00191,Adolf Schubert,MATCH,(all),,,1.0,exact
business_00192,Adolf Sommerfeld,MATCH,(all),,,1.0,exact
business_00193,Adolf Sommerfeld Bauausführung,MATCH,(all),,,1.0,exact
business_00194,Adolf Stern Eisen- und Metallgroßhandlung,MATCH,(all),,,1.0,exact
business_00195,Adolf Stern jr.,MATCH,(all),,,1.0,exact
business_00196,"Adolf Stern, Reg. Baumeister a.D.",MATCH,(all),,,1.0,exact
business_00197,Adolf Strahl,MATCH,(all),,,1.0,exact
business_00198,Adolf Stängel,MATCH,(all),,,1.0,exact
business_00199,Adolf Tannenbaum,MATCH,(all),,,1.0,exact
business_00200,Adolf Tauber,MATCH,(all),,,1.0,exact
business_00201,Adolf Tichauer,MATCH,(all),,,1.0,exact
business_00202,Adolf Traube,MATCH,(all),,,1.0,exact
business_00203,Adolf Wagner & Co,MATCH,(all),,,1.0,exact
business_00204,Adolf Weil & Orbach,MATCH,(all),,,1.0,exact
business_00205,Adolf Weinberg,MATCH,(all),,,1.0,exact
business_00206,Adolf Weininger,MATCH,(all),,,1.0,exact
business_00207,Adolf Weißmann & Co,MATCH,(all),,,1.0,exact
business_00208,Adolf Wittkowski,MATCH,(all),,,1.0,exact
business_00209,Adolf Wolff,MATCH,(all),,,1.0,exact
business_00210,Adolf Wolffsky,MATCH,(all),,,1.0,exact
business_00211,Adolf Zumpe senior GmbH,FIELD_DIFF,original_address,"Jakobstr. 9, Berlin","Alte Jakobstr. 9, Berlin",0.65,address_differs
business_00212,Adolph Asch Söhne,MATCH,(all),,,1.0,exact
business_00213,Adolph Bromberg,MATCH,(all),,,1.0,exact
business_00214,Adolph Burchardt Soehne,MATCH,(all),,,1.0,exact
business_00215,Adolph Danziger,MATCH,(all),,,1.0,exact
business_00216,Adolph Fürstner,FIELD_DIFF,original_address,"Viktoriastr. 34, Berlin","Viktoriastr. 34a, Berlin",0.65,address_differs
business_00217,Adolph Greiffenhagen,MATCH,(all),,,1.0,exact
business_00218,Adolph Kirchner,MATCH,(all),,,1.0,exact
business_00219,Adolph Koppel,MATCH,(all),,,1.0,exact
business_00220,Adolph Kraft Nachfolger,MATCH,(all),,,1.0,exact
business_00221,Adolph Lewin,MATCH,(all),,,1.0,exact
business_00222,Adolph Lewin Farbspritzerei,MATCH,(all),,,1.0,exact
business_00223,Adolph Lewinski,MATCH,(all),,,1.0,exact
business_00224,Adolph Maas & Co,MATCH,(all),,,1.0,exact
business_00225,Adolph Rehfeldt & Leo Rehfeldt,MATCH,(all),,,1.0,exact
business_00226,Adolph Salinger,MATCH,(all),,,1.0,exact
business_00227,Adrema Export GmbH,MATCH,(all),,,1.0,exact
business_00228,Adrema Maschinenbau-GmbH,MATCH,(all),,,1.0,exact
business_00229,Adrema-Verwaltungsgesellschaft mbH,MATCH,(all),,,1.0,exact
business_00230,"Adriane Fabrikation chemischer und kosmetischer Artikel, GmbH",MATCH,(all),,,1.0,exact
business_00231,Adrut-Verlag Berger und Lubowski,MATCH,(all),,,1.0,exact
business_00232,Aerozon-Fabrik G. & B. Sternberg,MATCH,(all),,,1.0,exact
business_00233,Aesculap-Apotheke Erich Jacobowitz,MATCH,(all),,,1.0,exact
business_00234,Aetz- und Emaillierwerk Schilder-Fischer GmbH,MATCH,(all),,,1.0,exact
business_00235,Agenturfirma Julius Lichtstern,MATCH,(all),,,1.0,exact
business_00236,Agil Schweißverfahren GmbH,MATCH,(all),,,1.0,exact
business_00237,Agil Techn. Apparate Neumann & Co,MATCH,(all),,,1.0,exact
business_00238,Ago Grundstücks-AG,MATCH,(all),,,1.0,exact
business_00239,Ahage Allgemeine Hotelgesellschaft mbH,MATCH,(all),,,1.0,exact
business_00240,Ahasver Grundstücks-Verwaltungs- und Verwertungs-AG,MATCH,(all),,,1.0,exact
business_00241,Ahders & Basch AG,MATCH,(all),,,1.0,exact
business_00242,"Ahlfeld, Georg",MATCH,(all),,,1.0,exact
business_00243,"Ahrends, Edmund",MATCH,(all),,,1.0,exact
business_00244,Aisik Futtermann,MATCH,(all),,,1.0,exact
business_00245,Ajanoth Hebräischer Verlag GmbH,MATCH,(all),,,1.0,exact
business_00246,Aktiengesellschaft Lignose,MATCH,(all),,,1.0,exact
business_00247,Alb. Aronheim jun.,MATCH,(all),,,1.0,exact
business_00248,Alb. B. Schlesinger,MATCH,(all),,,1.0,exact
business_00249,Albert & Bruno Fischer,MATCH,(all),,,1.0,exact
business_00250,Albert A. Levy,MATCH,(all),,,1.0,exact
business_00251,Albert Alexander,MATCH,(all),,,1.0,exact
business_00252,Albert Asch,MATCH,(all),,,1.0,exact
business_00253,Albert Aschheim Tuch- und Seiden-Manufaktur,MATCH,(all),,,1.0,exact
business_00254,Albert Becher,MATCH,(all),,,1.0,exact
business_00255,Albert Bein,MATCH,(all),,,1.0,exact
business_00256,Albert Bloch,MATCH,(all),,,1.0,exact
business_00257,Albert Blumenthal,MATCH,(all),,,1.0,exact
business_00258,Albert Bondi,MATCH,(all),,,1.0,exact
business_00259,Albert Brasch Damenmäntelfabrik,MATCH,(all),,,1.0,exact
business_00260,Albert Brasch Holzhandlung,MATCH,(all),,,1.0,exact
business_00261,Albert Brody,MATCH,(all),,,1.0,exact
business_00262,Albert Carl & Co GmbH,MATCH,(all),,,1.0,exact
business_00263,Albert Coppermann,MATCH,(all),,,1.0,exact
business_00264,Albert David,MATCH,(all),,,1.0,exact
business_00265,Albert Deutz,MATCH,(all),,,1.0,exact
business_00266,Albert Dzialoszynski & Co in Liqu.,MATCH,(all),,,1.0,exact
business_00267,Albert Falkenburger,MATCH,(all),,,1.0,exact
business_00268,Albert Feldblum,MATCH,(all),,,1.0,exact
business_00269,Albert Friedländer,MATCH,(all),,,1.0,exact
business_00270,Albert Gleiser Möbelfabrik-AG,MATCH,(all),,,1.0,exact
business_00271,Albert Gleiser Möbelhaus GmbH,MATCH,(all),,,1.0,exact
business_00272,Albert Goldberg,MATCH,(all),,,1.0,exact
business_00273,Albert Gottheimer GmbH,MATCH,(all),,,1.0,exact
business_00274,Albert Graetz,MATCH,(all),,,1.0,exact
business_00275,Albert Grundei Wäsche-Verleih,MATCH,(all),,,1.0,exact
business_00276,Albert Grünpeter,MATCH,(all),,,1.0,exact
business_00277,Albert Götzel,MATCH,(all),,,1.0,exact
business_00278,"Albert Hahn, Röhren-Walzwerk",MATCH,(all),,,1.0,exact
business_00279,"Albert Heimann, Bureau für Hypotheken- und Immobilienverkehr",MATCH,(all),,,1.0,exact
business_00280,Albert Herlitz,MATCH,(all),,,1.0,exact
business_00281,Albert Hübner Nachflgr.,MATCH,(all),,,1.0,exact
business_00282,Albert Joel KG,MATCH,(all),,,1.0,exact
business_00283,Albert Joel junior,MATCH,(all),,,1.0,exact
business_00284,Albert Kaatz,MATCH,(all),,,1.0,exact
business_00285,Albert Kasulke,MATCH,(all),,,1.0,exact
business_00286,"Albert Kaufmann, Sachverständiger der Handelskammer",MATCH,(all),,,1.0,exact
business_00287,Albert Kerwitz,MATCH,(all),,,1.0,exact
business_00288,Albert Krotoschin,MATCH,(all),,,1.0,exact
business_00289,Albert Labus AG,MATCH,(all),,,1.0,exact
business_00290,Albert Levy,MATCH,(all),,,1.0,exact
business_00291,Albert Lipschütz,FIELD_DIFF,original_address,"Friedrichstr. 38/49, Berlin","Neue Friedrichstr. 38/49, Berlin",0.65,address_differs
business_00292,Albert Loewenson,MATCH,(all),,,1.0,exact
business_00293,Albert Loewenthal,MATCH,(all),,,1.0,exact
business_00294,Albert Maier u. Co Fabrik für Knabenkleidung,MATCH,(all),,,1.0,exact
business_00295,"Albert Marx, 50 Jahre alt",MATCH,(all),,,1.0,exact
business_00296,Albert Mautner,MATCH,(all),,,1.0,exact
business_00297,Albert Mendel AG,MATCH,(all),,,1.0,exact
business_00298,Albert Meyer,MATCH,(all),,,1.0,exact
business_00299,"Albert Meyer, Getreide",MATCH,(all),,,1.0,exact
business_00300,Albert Moses,MATCH,(all),,,1.0,exact
business_00301,Albert Neumann,MATCH,(all),,,1.0,exact
business_00302,Albert Raddant,MATCH,(all),,,1.0,exact
business_00303,Albert Reimann Kunstwerkstätten Schule Reimann,MATCH,(all),,,1.0,exact
business_00304,Albert Rieß,MATCH,(all),,,1.0,exact
business_00305,Albert Rosenhain Exportgesellschaft mbH,MATCH,(all),,,1.0,exact
business_00306,Albert Rosenhain GmbH,MATCH,(all),,,1.0,exact
business_00307,Albert Rosenthal & Co,MATCH,(all),,,1.0,exact
business_00308,Albert Schön,MATCH,(all),,,1.0,exact
business_00309,Albert Stahl Getreide & Futtermittel,MATCH,(all),,,1.0,exact
business_00310,Albert Stern,MATCH,(all),,,1.0,exact
business_00311,Albert Sternglanz Apotheker Chemische u. Pharmazeutische Produkte,MATCH,(all),,,1.0,exact
business_00312,Albert Stolzmann,MATCH,(all),,,1.0,exact
business_00313,Albert Treuherz,MATCH,(all),,,1.0,exact
business_00314,Albert Unger,MATCH,(all),,,1.0,exact
business_00315,Albert Wallach,MATCH,(all),,,1.0,exact
business_00316,Albert Wisniewski,FIELD_DIFF,original_address,"( Trade ) Eingetragen im Handelsregister/ Gründung 1928 Erloschen 1939 Potsdamer Str. 82d, Berlin","Potsdamer Str. 82d, Berlin",0.65,address_differs
business_00317,Alberti Schallplatten Vertriebs-GmbH,MATCH,(all),,,1.0,exact
business_00318,Albina Grundstücks-Erwerbsgesellschaft mbH,MATCH,(all),,,1.0,exact
business_00319,Albinus & Co Automobil-Betriebs-Gesellschaft,MATCH,(all),,,1.0,exact
business_00320,Albogran F. du Bois-Reymond & Salz,FIELD_DIFF,original_address,"Kantstr. 8, Berlin","Neue Kantstr. 8, Berlin",0.65,address_differs
business_00321,Alboldt & Co GmbH,MATCH,(all),,,1.0,exact
business_00322,Albrecht Dürer-Apotheke und Drogenhandlung Adolf Mockrauer,MATCH,(all),,,1.0,exact
business_00323,Albrechtsdorfer Holzverwertungsgesellschaft mbH,MATCH,(all),,,1.0,exact
business_00324,Albrechtshof Lichtspiele GmbH,FIELD_DIFF,original_address,"Albrechtstr. 1, Berlin","Albrechtstr. 1a, Berlin",0.65,address_differs
business_00325,Albula Grundstücksgesellschaft mbH,MATCH,(all),,,1.0,exact
business_00326,Alcophor. GmbH,MATCH,(all),,,1.0,exact
business_00327,Aldemag Allgemeine Deutsche Margarine-AG,FIELD_DIFF,original_address,"Kreuzbergstr. 30, Berlin","Kreuzbergstr. 30, Berlin St.-Wolfgang-Str. 1, Berlin",0.65,address_differs
business_00328,Aldenta Allgemeine Dental Co GmbH,MATCH,(all),,,1.0,exact
business_00329,Aldus Druck GmbH,MATCH,(all),,,1.0,exact
business_00330,Alebi Allgemeine Lebensmittel-Importgesellschaft mbH,MATCH,(all),,,1.0,exact
business_00331,Alessinwerke Chemische Fabrik GmbH,MATCH,(all),,,1.0,exact
business_00332,Alex Birnbaum,MATCH,(all),,,1.0,exact
business_00333,Alex Eisenstädt,MATCH,(all),,,1.0,exact
business_00334,Alex Elsoffer,MATCH,(all),,,1.0,exact
business_00335,Alex Flatow,MATCH,(all),,,1.0,exact
business_00336,Alex Goldmann,FIELD_DIFF,original_address,"Grünstr. 39, Berlin","Neue Grünstr. 39, Berlin",0.65,address_differs
business_00337,Alex Hiller & Co,MATCH,(all),,,1.0,exact
business_00338,Alex Hirsch,FIELD_DIFF,original_address,"Wilhelmstr. 1, Berlin","Verlängerte Wilhelmstr. 1, Berlin",0.65,address_differs
business_00339,Alex Pander,MATCH,(all),,,1.0,exact
business_00340,Alex Sternau,MATCH,(all),,,1.0,exact
business_00341,Alex Zimmt,MATCH,(all),,,1.0,exact
business_00342,Alex. Mandelbaum,MATCH,(all),,,1.0,exact
business_00343,Alexander & Co,FIELD_DIFF,original_address,"enburger Str. 46, Berlin","Weißenburger Str. 46, Berlin",0.65,address_differs
business_00344,Alexander & Messow,MATCH,(all),,,1.0,exact
business_00345,Alexander Beitsch,MATCH,(all),,,1.0,exact
business_00346,Alexander Bukofzer Weingroßhandlung und Herstellung von Spirituosen und Säften,MATCH,(all),,,1.0,exact
business_00347,Alexander Conitzer,MATCH,(all),,,1.0,exact
business_00348,Alexander Elbert,MATCH,(all),,,1.0,exact
business_00349,Alexander Grundstücksgesellschaft m.b.H,MATCH,(all),,,1.0,exact
business_00350,Alexander Gutkind,MATCH,(all),,,1.0,exact
business_00351,Alexander Heinrich,MATCH,(all),,,1.0,exact
business_00352,Alexander Hermers,MATCH,(all),,,1.0,exact
business_00353,Alexander Herzfeld,MATCH,(all),,,1.0,exact
business_00354,Alexander Herzog,MATCH,(all),,,1.0,exact
business_00355,Alexander Hiller Konfektion,FIELD_DIFF,original_address,"Charlottenstr. 32, Berlin","Charlottenstr. 32a, Berlin",0.65,address_differs
business_00356,Alexander Jacoby & Co,MATCH,(all),,,1.0,exact
