id,title,page,old_category,new_mainBranch,new_sectorKey,match_quality
44,A. Busse & Co AG,,business,,,not_found
45,A. Caminer & Co,,business,,,not_found
46,A. Christ GmbH,,business,,,not_found
47,A. Damitt,,business,,,not_found
48,A. Damitt Inkasso GmbH,,business,,,not_found
49,A. Davidoff & Co,,business,,,not_found
50,A. E. Wassermann,,business,,,not_found
51,A. Englard & Co KG,,business,,,not_found
52,A. Ephraim,,business,,,not_found
53,A. F. Gohlicke,,business,,,not_found
54,A. Falkenburger & Co,,business,,,not_found
55,A. Falkowitz & Co,,business,,,not_found
56,A. Feurig Apotheke Karl Meyer,,business,,,not_found
57,A. Fricke & Co,,business,,,not_found
58,A. Goldbruch,,business,,,not_found
59,A. Goldstein KG,,business,,,not_found
60,A. Gompertz GmbH,,business,,,not_found
61,A. Grün & Sohn,,business,,,not_found
62,A. H. Heymann & Co,,business,,,not_found
63,A. Haendler & Co,,business,,,not_found
64,A. Haubenschild,,business,,,not_found
65,A. Hefter Fleischwaren-GmbH,,business,,,not_found
66,A. Heinemann & Co GmbH,,business,,,not_found
67,A. Helfgott,,business,,,not_found
68,A. Hoffmann & Co,,business,,,not_found
69,"A. Hoffmann's Verlag Theater-Buch- und Musikalien-Literatur, GmbH",,business,,,not_found
70,"A. J. Bernstein & Sohn, KG",,business,,,not_found
71,A. J. Brodtmann,,business,,,not_found
72,A. Jacobsohn & Co,,business,,,not_found
73,A. Jandorf & Co,,business,,,not_found
74,A. Kalenscher,,business,,,not_found
75,A. Kaminsky,,business,,,not_found
76,A. Kariel & Co,,business,,,not_found
77,A. Krojanker Schuhfabrik Burg GmbH,,business,,,not_found
78,A. Lucae,,business,,,not_found
79,A. Löwi,,business,,,not_found
80,"A. Maaß Söhne, Bankgeschäft",,business,,,not_found
81,A. Mustroph,,business,,,not_found
82,A. Müller u. A. Müller,,business,,,not_found
83,A. N. Schmidt & Co GmbH,,business,,,not_found
84,A. Neumann & Söhne,,business,,,not_found
85,A. Oehlrich & Co,,business,,,not_found
86,A. Offenberg & Söhne,,business,,,not_found
87,A. Palis Nachf.,,business,,,not_found
88,A. Palm & Co,,business,,,not_found
89,A. Racusin & Co,,business,,,not_found
90,A. Reich & Co,,business,,,not_found
91,A. Rosenthal Nachf.,,business,,,not_found
92,A. Saalfeld & Co,,business,,,not_found
93,A. Schreiber & Co,,business,,,not_found
94,A. Schäfer Spedition & Möbeltransport,,business,,,not_found
95,A. Schön & Co,,business,,,not_found
96,A. Seydel & Cie AG,,business,,,not_found
97,A. Spörer & Co,,business,,,not_found
98,A. Steiner,,business,,,not_found
99,A. Suponitzki & Co,,business,,,not_found
100,A. Sylbertrest,,business,,,not_found
101,A. Ullendorff & Co,,business,,,not_found
102,A. V. G. Autoreifen-Vertriebs-Gesellschaft mbH,,business,,,not_found
110,A. Grün & Sohn,,business,,,not_found
113,A. Chill & Co,,business,,,not_found
117,A. Magnus,,business,,,not_found
119,A. Neumann & Co,,business,,,not_found
121,A. Grün & Sohn,,business,,,not_found
124,A. Grün & Sohn,,business,,,not_found
126,AG für Brennstoffvergasung,12,business,industry,CONSTRUCTION_MATERIALS_AND_FUEL,exact
127,AG für Eigentumschutz,12,business,services,OTHER,exact
129,AG für Finanzierungen am Grundstücksmarkt,12,business,trade,BANKS_AND_INSURANCE,exact
130,AG für Geschäfts- und Industriebauten,12,business,trade,REAL_ESTATE,exact
131,AG für Grundkredit,12,business,trade,BANKS_AND_INSURANCE,exact
132,AG für Grundstücksbeteiligungen,12,business,trade,REAL_ESTATE,exact
133,AG für Grundstücksverwaltung und Außenhandel,12,business,services,REAL_ESTATE,exact
134,AG für Handel und Grundbesitz,12,business,trade,REAL_ESTATE,exact
135,AG für Konsortialbeteiligung,12,business,trade,OTHER,exact
136,A. Velisch & Hochgesang,11,business,trade,TEXTILES_AND_CLOTHING,exact
139,A. Wertheim Special-Verkauf GmbH,11,business,trade,DEPARTMENT_STORES,exact
140,A. Woitke,11,business,,FOOD_AND_BEVERAGES,exact
142,A. Zuntz sel. Wwe.,11,business,industry,FOOD_AND_BEVERAGES,exact
144,AG Johannes Jeserich,11,business,,CONSTRUCTION,exact
145,AG für Biervertrieb,11,business,trade,FOOD_AND_BEVERAGES,exact
146,AG für Landwirtschaft und Industrie,13,business,trade,FOOD_AND_BEVERAGES,exact
147,AG für metallurgische Produkte,13,business,trade,METALS_AND_METAL_GOODS,exact
149,Abels Schokolade GmbH,13,business,trade,FOOD_AND_BEVERAGES,exact
150,Abr. Schmidt,13,business,trade,FOOD_AND_BEVERAGES,exact
151,Abraham Antmann,13,business,trade,TEXTILES_AND_CLOTHING,exact
153,Abraham Ball,13,business,trade,FOOD_AND_BEVERAGES,exact
154,Abraham Berenblum,13,business,,TEXTILES_AND_CLOTHING,exact
155,Abraham Brettschneider,13,business,trade,LEATHER_AND_SHOES,exact
157,Abraham Ebel,14,business,,,exact
158,Abraham Feder,14,business,,CONSTRUCTION,exact
160,Abraham Frommer,14,business,trade,FOOD_AND_BEVERAGES,exact
162,Abraham Herschaft,14,business,trade,OTHER,exact
163,Abraham J. Grebler,14,business,trade,FURNITURE,exact
165,Abraham Liß,14,business,,,exact
166,Abraham Pfeffer,15,business,trade,FOOD_AND_BEVERAGES,exact
168,Abraham Schaul,15,business,,HOUSEHOLD_GOODS,exact
169,Abraham Schlesinger,15,business,trade,BANKS_AND_INSURANCE,exact
170,Abraham Schäfer,15,business,,TEXTILES_AND_CLOTHING,exact
171,Abraham Stein,15,business,trade,FURNITURE,exact
173,Abraham Weber,15,business,,CHEMICALS_AND_PHARMACEUTICALS,exact
175,Abraham Wreschner,15,business,industry,METALS_AND_METAL_GOODS,exact
178,"Abraham, Ralph",16,business,,BANKS_AND_INSURANCE,exact
179,Abrahamowsky & Wagner,16,business,trade,TEXTILES_AND_CLOTHING,exact
180,Abram Dreisiuk,16,business,,LEATHER_AND_SHOES,exact
181,Abram Salwe,16,business,industry,TEXTILES_AND_CLOTHING,exact
182,Abé Ringer & Co,16,business,trade,BANKS_AND_INSURANCE,exact
186,Ad. Goldschmidt,17,business,trade,FOOD_AND_BEVERAGES,exact
189,Adalbert-Apotheke Walter Jacoby,17,business,trade,PHARMACIES,exact
191,Adam's Cigarrenfabriken,17,business,industry,FOOD_AND_BEVERAGES,exact
192,Adebek Auskunftei GmbH,17,business,services,OTHER,exact
193,Adedap Julius Gold,17,business,trade,TEXTILES_AND_CLOTHING,exact
195,"Ader, Rosa, geb. Weinberg",17,business,,TEXTILES_AND_CLOTHING,exact
197,Adler & Baranski,18,business,trade,TEXTILES_AND_CLOTHING,exact
198,Adler & Oppenheimer AG,18,business,industry,LEATHER_AND_SHOES,exact
199,Adler & Oppenheimer GmbH,18,business,trade,BANKS_AND_INSURANCE,exact
203,Adler-Apotheke Zehlendorf Dr. Georg Plack,18,business,trade,PHARMACIES,exact
204,"Adler-Drogerie, Herbert Weiß",18,business,,CHEMICALS_AND_PHARMACEUTICALS,exact
206,Adler-Maschinenfabrik Karl Frühling,19,business,industry,MACHINES_AND_VEHICLES,exact
207,Admiral Apotheke Siegfried Fink,19,business,trade,PHARMACIES,exact
209,Adolf A. Weinberg,19,business,industry,TEXTILES_AND_CLOTHING,exact
211,Adolf Apfelbaum,19,business,trade,LEATHER_AND_SHOES,exact
213,Adolf Auser & Co,19,business,industry,TEXTILES_AND_CLOTHING,exact
214,Adolf Badt,19,business,,HOUSEHOLD_GOODS,exact
216,Adolf Ballan,20,business,trade,TEXTILES_AND_CLOTHING,exact
217,Adolf Becker,20,business,trade,BANKS_AND_INSURANCE,exact
222,Adolf Bloch,20,business,,,exact
223,Adolf Boese,20,business,trade,JEWELRY_AND_PRECIOUS_METALS,exact
224,Adolf Brieger,20,business,trade,CHEMICALS_AND_PHARMACEUTICALS,exact
225,Adolf Brill,20,business,trade,CONSTRUCTION_MATERIALS_AND_FUEL,exact
226,Adolf Brotzen,21,business,trade,TEXTILES_AND_CLOTHING,exact
227,Adolf Bruck,21,business,trade,TEXTILES_AND_CLOTHING,exact
228,Adolf Brünn Nachf.,21,business,trade,TEXTILES_AND_CLOTHING,exact
229,Adolf Cohn Agentur und Commission,21,business,trade,OTHER,exact
233,Adolf Dannemann,21,business,trade,DEPARTMENT_STORES,exact
234,Adolf David,21,business,industry,LEATHER_AND_SHOES,exact
235,Adolf Dresler,21,business,,TEXTILES_AND_CLOTHING,exact
237,Adolf Ephraim,22,business,trade,TEXTILES_AND_CLOTHING,exact
238,Adolf Feinberg,22,business,trade,BANKS_AND_INSURANCE,exact
239,Adolf Fertig,22,business,trade,BANKS_AND_INSURANCE,exact
240,Adolf Fraenkel & Co,22,business,trade,TEXTILES_AND_CLOTHING,exact
242,Adolf Friedmann,22,business,,,exact
243,Adolf Fuchs,22,business,trade,TEXTILES_AND_CLOTHING,exact
245,Adolf Fürst,22,business,trade,BANKS_AND_INSURANCE,exact
246,Adolf Gabriel,23,business,,TEXTILES_AND_CLOTHING,exact
247,Adolf Galanty,23,business,trade,TEXTILES_AND_CLOTHING,exact
248,Adolf Gehr,23,business,trade,TEXTILES_AND_CLOTHING,exact
249,Adolf Gerber (Schuhhaus Gerber),23,business,,LEATHER_AND_SHOES,exact
251,Adolf Grünstein,23,business,trade,ELECTRICAL_GOODS,exact
252,Adolf H. Neumann,23,business,trade,BANKS_AND_INSURANCE,exact
255,Adolf Heinau,23,business,,,exact
257,Adolf Himmelweit,24,business,trade,TEXTILES_AND_CLOTHING,exact
259,Adolf Hirschfeld,24,business,trade,TEXTILES_AND_CLOTHING,exact
260,Adolf Hirschfeldt,24,business,trade,TEXTILES_AND_CLOTHING,exact
261,Adolf Hochwald,24,business,,TEXTILES_AND_CLOTHING,exact
263,Adolf Hollaender,24,business,trade,BANKS_AND_INSURANCE,exact
264,Adolf Illgen Sächsische Möbelfabrik,24,business,industry,FURNITURE,exact
265,Adolf Jurmann Großhandlung Elektrotechnischer Bedarfsartikel,24,business,trade,ELECTRICAL_GOODS,exact
266,Adolf Kahn,25,business,trade,FURNITURE,exact
267,Adolf Kaplan,25,business,trade,LEATHER_AND_SHOES,exact
268,Adolf Kempler,25,business,trade,TEXTILES_AND_CLOTHING,exact
272,Adolf Krause,25,business,trade,TEXTILES_AND_CLOTHING,exact
274,Adolf Kreutzberger Inhaber Joseph Danziger,25,business,trade,TEXTILES_AND_CLOTHING,exact
275,Adolf Kuba,25,business,,TEXTILES_AND_CLOTHING,exact
276,Adolf Kuttner,26,business,trade,FOOD_AND_BEVERAGES,exact
277,Adolf Lacher,26,business,,PUBLISHING_AND_PRINTING,exact
278,Adolf Lemchen & Günther,26,business,trade,TEXTILES_AND_CLOTHING,exact
279,Adolf Lent,26,business,industry,TEXTILES_AND_CLOTHING,exact
281,Adolf Lewin Uhrmacher und Juwelier GmbH,26,business,trade,JEWELRY_AND_PRECIOUS_METALS,exact
283,Adolf Lieser,26,business,trade,OTHER,exact
285,Adolf Loebmann,26,business,,BANKS_AND_INSURANCE,exact
288,Adolf Maaß Fabrik antiseptischer Artikel,27,business,industry,LEATHER_AND_SHOES,exact
291,Adolf Meyer Mützenfabrication,27,business,industry,TEXTILES_AND_CLOTHING,exact
294,Adolf Neumann Engros-Haus für Futterstoffe & Schneiderartikel,27,business,trade,TEXTILES_AND_CLOTHING,exact
295,Adolf Pelz,27,business,trade,CONSTRUCTION_MATERIALS_AND_FUEL,exact
300,Adolf Praiß,28,business,trade,FOOD_AND_BEVERAGES,exact
301,Adolf Preiß,28,business,trade,TEXTILES_AND_CLOTHING,exact
302,Adolf Privin,28,business,trade,FOOD_AND_BEVERAGES,exact
303,Adolf Rewald,28,business,trade,BANKS_AND_INSURANCE,exact
305,Adolf Rosentreter,28,business,,FOOD_AND_BEVERAGES,exact
307,Adolf Rothenberg,29,business,trade,OTHER,exact
310,Adolf Sachs & Co,29,business,trade,BANKS_AND_INSURANCE,exact
311,Adolf Salz & Co GmbH,29,business,trade,REAL_ESTATE,exact
313,Adolf Schimmel,29,business,,TEXTILES_AND_CLOTHING,exact
314,Adolf Schneider Koks und Kohlen engros,29,business,trade,CONSTRUCTION_MATERIALS_AND_FUEL,exact
315,Adolf Schrubski,29,business,trade,TEXTILES_AND_CLOTHING,exact
316,Adolf Schubert,30,business,industry,MACHINES_AND_VEHICLES,exact
317,Adolf Sommerfeld,30,business,trade,METALS_AND_METAL_GOODS,exact
318,Adolf Sommerfeld Bauausführung,30,business,,CONSTRUCTION,exact
319,Adolf Stern Eisen- und Metallgroßhandlung,30,business,,,exact
322,Adolf Strahl,30,business,,HOUSEHOLD_GOODS,exact
327,Adolf Traube,31,business,trade,FOOD_AND_BEVERAGES,exact
328,Adolf Wagner & Co,31,business,industry,CHEMICALS_AND_PHARMACEUTICALS,exact
329,Adolf Weil & Orbach,31,business,industry,TEXTILES_AND_CLOTHING,exact
330,Adolf Weinberg,31,business,trade,TEXTILES_AND_CLOTHING,exact
331,Adolf Weininger,31,business,,FOOD_AND_BEVERAGES,exact
332,Adolf Weißmann & Co,31,business,trade,TEXTILES_AND_CLOTHING,exact
333,Adolf Wittkowski,31,business,trade,TEXTILES_AND_CLOTHING,exact
334,Adolf Wolff,31,business,trade,BANKS_AND_INSURANCE,exact
335,Adolf Wolffsky,31,business,trade,BANKS_AND_INSURANCE,exact
336,Adolf Zumpe senior GmbH,32,business,industry,PAPER_AND_PAPER_GOODS,exact
337,Adolph Asch Söhne,32,business,trade,OTHER,exact
339,Adolph Burchardt Soehne,32,business,trade,FURNITURE,exact
340,Adolph Danziger,32,business,trade,TEXTILES_AND_CLOTHING,exact
341,Adolph Fürstner,32,business,trade,BOOKS_AND_ART,exact
345,Adolph Kraft Nachfolger,32,business,trade,FOOD_AND_BEVERAGES,exact
346,Adolph Lewin,33,business,trade,BANKS_AND_INSURANCE,exact
347,Adolph Lewin Farbspritzerei,33,business,industry,PUBLISHING_AND_PRINTING,exact
348,Adolph Lewinski,33,business,trade,DEPARTMENT_STORES,exact
349,Adolph Maas & Co,33,business,industry,TEXTILES_AND_CLOTHING,exact
352,Adrema Export GmbH,33,business,trade,MACHINES_AND_VEHICLES,exact
353,Adrema Maschinenbau-GmbH,33,business,industry,MACHINES_AND_VEHICLES,exact
354,Adrema-Verwaltungsgesellschaft mbH,33,business,industry,MACHINES_AND_VEHICLES,exact
355,"Adriane Fabrikation chemischer und kosmetischer Artikel, GmbH",33,business,trade,CHEMICALS_AND_PHARMACEUTICALS,exact
357,Aerozon-Fabrik G. & B. Sternberg,34,business,industry,CHEMICALS_AND_PHARMACEUTICALS,exact
358,Aesculap-Apotheke Erich Jacobowitz,34,business,trade,PHARMACIES,exact
359,Aetz- und Emaillierwerk Schilder-Fischer GmbH,34,business,industry,METALS_AND_METAL_GOODS,exact
360,Agenturfirma Julius Lichtstern,34,business,trade,OTHER,exact
361,Agil Schweißverfahren GmbH,34,business,trade,METALS_AND_METAL_GOODS,exact
362,Agil Techn. Apparate Neumann & Co,34,business,trade,MACHINES_AND_VEHICLES,exact
363,Ago Grundstücks-AG,34,business,trade,REAL_ESTATE,exact
364,Ahage Allgemeine Hotelgesellschaft mbH,34,business,,,exact
365,Ahasver Grundstücks-Verwaltungs- und Verwertungs-AG,34,business,trade,REAL_ESTATE,exact
366,Ahders & Basch AG,35,business,trade,TEXTILES_AND_CLOTHING,exact
368,"Ahrends, Edmund",35,business,,,exact
369,Aisik Futtermann,35,business,trade,FOOD_AND_BEVERAGES,exact
370,Ajanoth Hebräischer Verlag GmbH,35,business,industry,PUBLISHING_AND_PRINTING,exact
373,Alb. B. Schlesinger,35,business,trade,TEXTILES_AND_CLOTHING,exact
374,Albert & Bruno Fischer,35,business,industry,TEXTILES_AND_CLOTHING,exact
375,Albert A. Levy,35,business,industry,TEXTILES_AND_CLOTHING,exact
377,Albert Asch,36,business,trade,LEATHER_AND_SHOES,exact
378,Albert Aschheim Tuch- und Seiden-Manufaktur,36,business,trade,TEXTILES_AND_CLOTHING,exact
379,Albert Becher,36,business,trade,LEATHER_AND_SHOES,exact
382,Albert Blumenthal,36,business,trade,METALS_AND_METAL_GOODS,exact
383,Albert Bondi,36,business,trade,FOOD_AND_BEVERAGES,exact
384,Albert Brasch Damenmäntelfabrik,36,business,trade,TEXTILES_AND_CLOTHING,exact
386,Albert Brody,37,business,trade,LEATHER_AND_SHOES,exact
388,Albert Coppermann,37,business,trade,BANKS_AND_INSURANCE,exact
389,Albert David,37,business,trade,BANKS_AND_INSURANCE,exact
391,Albert Dzialoszynski & Co in Liqu.,37,business,trade,TEXTILES_AND_CLOTHING,exact
392,Albert Falkenburger,37,business,trade,BANKS_AND_INSURANCE,exact
393,Albert Feldblum,37,business,,ADVERTISING,exact
394,Albert Friedländer,37,business,trade,BANKS_AND_INSURANCE,exact
395,Albert Gleiser Möbelfabrik-AG,37,business,trade,FURNITURE,exact
396,Albert Gleiser Möbelhaus GmbH,38,business,trade,FURNITURE,exact
397,Albert Goldberg,38,business,trade,FOOD_AND_BEVERAGES,exact
398,Albert Gottheimer GmbH,38,business,industry,CHEMICALS_AND_PHARMACEUTICALS,exact
399,Albert Graetz,38,business,trade,TEXTILES_AND_CLOTHING,exact
400,Albert Grundei Wäsche-Verleih,38,business,services,TEXTILES_AND_CLOTHING,exact
401,Albert Grünpeter,38,business,trade,FURNITURE,exact
403,"Albert Hahn, Röhren-Walzwerk",38,business,industry,METALS_AND_METAL_GOODS,exact
404,"Albert Heimann, Bureau für Hypotheken- und Immobilienverkehr",38,business,trade,BANKS_AND_INSURANCE,exact
406,Albert Hübner Nachflgr.,39,business,trade,TEXTILES_AND_CLOTHING,exact
407,Albert Joel KG,39,business,trade,BANKS_AND_INSURANCE,exact
408,Albert Joel junior,39,business,industry,METALS_AND_METAL_GOODS,exact
409,Albert Kaatz,39,business,trade,FOOD_AND_BEVERAGES,exact
410,Albert Kasulke,39,business,trade,FOOD_AND_BEVERAGES,exact
412,Albert Kerwitz,39,business,,,exact
413,Albert Krotoschin,39,business,trade,CONSTRUCTION,exact
414,Albert Labus AG,39,business,industry,PAPER_AND_PAPER_GOODS,exact
415,Albert Levy,39,business,trade,TEXTILES_AND_CLOTHING,exact
416,Albert Lipschütz,40,business,trade,TEXTILES_AND_CLOTHING,exact
418,Albert Loewenthal,40,business,trade,LEATHER_AND_SHOES,exact
419,Albert Maier u. Co Fabrik für Knabenkleidung,40,business,industry,TEXTILES_AND_CLOTHING,exact
422,Albert Mendel AG,40,business,industry,CHEMICALS_AND_PHARMACEUTICALS,exact
423,Albert Meyer,40,business,trade,DEPARTMENT_STORES,exact
424,"Albert Meyer, Getreide",40,business,trade,FOOD_AND_BEVERAGES,exact
425,Albert Moses,40,business,trade,TEXTILES_AND_CLOTHING,exact
426,Albert Neumann,41,business,trade,TEXTILES_AND_CLOTHING,exact
430,Albert Rosenhain Exportgesellschaft mbH,41,business,trade,OTHER,exact
431,Albert Rosenhain GmbH,41,business,trade,LEATHER_AND_SHOES,exact
432,Albert Rosenthal & Co,41,business,trade,TEXTILES_AND_CLOTHING,exact
433,Albert Schön,41,business,trade,BOOKS_AND_ART,exact
435,Albert Stern,41,business,trade,TEXTILES_AND_CLOTHING,exact
437,Albert Stolzmann,42,business,trade,FOOD_AND_BEVERAGES,exact
438,Albert Treuherz,42,business,trade,TEXTILES_AND_CLOTHING,exact
439,Albert Unger,42,business,,TEXTILES_AND_CLOTHING,exact
440,Albert Wallach,42,business,trade,HOUSEHOLD_GOODS,exact
441,Albert Wisniewski,42,business,trade,TEXTILES_AND_CLOTHING,exact
442,Alberti Schallplatten Vertriebs-GmbH,42,business,trade,MACHINES_AND_VEHICLES,exact
443,Albina Grundstücks-Erwerbsgesellschaft mbH,42,business,trade,REAL_ESTATE,exact
445,Albogran F. du Bois-Reymond & Salz,42,business,industry,FOOD_AND_BEVERAGES,exact
446,Alboldt & Co GmbH,43,business,,,exact
448,Albrechtsdorfer Holzverwertungsgesellschaft mbH,43,business,industry,CONSTRUCTION_MATERIALS_AND_FUEL,exact
449,Albrechtshof Lichtspiele GmbH,43,business,services,RESTAURANTS,exact
452,Aldemag Allgemeine Deutsche Margarine-AG,43,business,,FOOD_AND_BEVERAGES,exact
454,Aldus Druck GmbH,43,business,industry,PUBLISHING_AND_PRINTING,exact
455,Alebi Allgemeine Lebensmittel-Importgesellschaft mbH,43,business,trade,REAL_ESTATE,exact
456,Alessinwerke Chemische Fabrik GmbH,44,business,industry,CHEMICALS_AND_PHARMACEUTICALS,exact
457,Alex Birnbaum,44,business,trade,FURNITURE,exact
459,Alex Elsoffer,44,business,,BANKS_AND_INSURANCE,exact
460,Alex Flatow,44,business,industry,FOOD_AND_BEVERAGES,exact
461,Alex Goldmann,44,business,trade,TEXTILES_AND_CLOTHING,exact
462,Alex Hiller & Co,44,business,trade,TEXTILES_AND_CLOTHING,exact
463,Alex Hirsch,44,business,trade,DEPARTMENT_STORES,exact
466,Alex Zimmt,45,business,trade,TEXTILES_AND_CLOTHING,exact
467,Alex. Mandelbaum,45,business,trade,JEWELRY_AND_PRECIOUS_METALS,exact
471,Alexander Bukofzer Weingroßhandlung und Herstellung von Spirituosen und Säften,45,business,trade,FOOD_AND_BEVERAGES,exact
472,Alexander Conitzer,45,business,trade,BANKS_AND_INSURANCE,exact
474,Alexander Grundstücksgesellschaft m.b.H,45,business,,,exact
476,Alexander Heinrich,46,business,trade,TEXTILES_AND_CLOTHING,exact
477,Alexander Hermers,46,business,trade,MACHINES_AND_VEHICLES,exact
478,Alexander Herzfeld,46,business,trade,BANKS_AND_INSURANCE,exact
479,Alexander Herzog,46,business,trade,FOOD_AND_BEVERAGES,exact
480,Alexander Hiller Konfektion,46,business,trade,TEXTILES_AND_CLOTHING,exact
483,Alexander Kremener & Co,46,business,industry,METALS_AND_METAL_GOODS,exact
484,Alexander Ledermann,46,business,trade,TEXTILES_AND_CLOTHING,exact
485,Alexander Levy,46,business,trade,TEXTILES_AND_CLOTHING,exact
486,Alexander Neißer,47,business,trade,FOOD_AND_BEVERAGES,exact
487,Alexander Riesenburger,47,business,trade,FOOD_AND_BEVERAGES,exact
488,Alexander Rosenau,47,business,trade,TEXTILES_AND_CLOTHING,exact
489,Alexander Rosenberg KG,47,business,trade,PAPER_AND_PAPER_GOODS,exact
490,Alexander Stern,47,business,trade,REAL_ESTATE,exact
491,Alexander und Raphael KG,47,business,trade,TEXTILES_AND_CLOTHING,exact
492,"Alexander, Georg",47,business,,TEXTILES_AND_CLOTHING,exact
493,"Alexander, Rolf",47,business,,,exact
494,"Alexander, Siegfried",47,business,,,exact
495,Alexander-Apotheke Leopold Scheyer,47,business,trade,PHARMACIES,exact
496,Alexander-Drogerie Apotheker Israel Abraham,48,business,trade,CHEMICALS_AND_PHARMACEUTICALS,exact
497,Alexanderbasar GmbH,48,business,trade,DEPARTMENT_STORES,exact
498,Alfons Goldstein,48,business,trade,FOOD_AND_BEVERAGES,exact
500,Alfons Jacobsohn,48,business,trade,OTHER,exact
501,Alfred Dienstfertig & Co,51,business,trade,BANKS_AND_INSURANCE,exact
502,Alfred Dreifuß,51,business,trade,METALS_AND_METAL_GOODS,exact
503,Alfred Dreyfuss,51,business,trade,TEXTILES_AND_CLOTHING,exact
504,Alfred Drucker,51,business,industry,METALS_AND_METAL_GOODS,exact
505,Alfred Ehrlich,51,business,trade,OTHER,exact
506,Alfred Elkan,51,business,trade,OTHER,exact
507,Alfred Ellinger,51,business,trade,TEXTILES_AND_CLOTHING,exact
508,Alfred Ephraim,51,business,,TEXTILES_AND_CLOTHING,exact
510,Alfred Feibusch,51,business,,ELECTRICAL_GOODS,exact
511,Alfred Heller vorm. Hugo Müller,53,business,trade,FOOD_AND_BEVERAGES,exact
512,Alfred Herz,53,business,trade,TEXTILES_AND_CLOTHING,exact
515,Alfred Hurwitz,53,business,,JEWELRY_AND_PRECIOUS_METALS,exact
516,Alfred Höxter,53,business,trade,FOOD_AND_BEVERAGES,exact
517,Alfred J. Stern,53,business,industry,TEXTILES_AND_CLOTHING,exact
521,Alfred Flatow,52,business,trade,MACHINES_AND_VEHICLES,exact
523,Alfred Freund & Co,52,business,trade,BANKS_AND_INSURANCE,exact
526,Alfred Gude & Co Chemische Fabrik GmbH,52,business,industry,CHEMICALS_AND_PHARMACEUTICALS,exact
528,Alfred Hartbrodt,52,business,trade,JEWELRY_AND_PRECIOUS_METALS,exact_ambiguous_2
529,Alfred Hartbrodt,52,business,trade,JEWELRY_AND_PRECIOUS_METALS,exact_ambiguous_2
531,Alfred M. Cohn,56,business,trade,BANKS_AND_INSURANCE,exact
532,Alfred Marcus,56,business,trade,LEATHER_AND_SHOES,exact
533,Alfred Marcus & Co,56,business,trade,FOOD_AND_BEVERAGES,exact
534,Alfred May,56,business,trade,BANKS_AND_INSURANCE,exact
537,Alfred Meyer,56,business,trade,TEXTILES_AND_CLOTHING,exact
538,Alfred Meyersberg,56,business,trade,BANKS_AND_INSURANCE,exact
539,Alfred Mokrauer,56,business,trade,TEXTILES_AND_CLOTHING,exact
541,Alfred Jany Schokoladen-Großhandlung,54,business,trade,FOOD_AND_BEVERAGES,exact
542,Alfred Karg Verwaltungsgesellschaft für Grundbesitz mbH,54,business,services,REAL_ESTATE,exact
543,"Alfred Karg, Grundstücks-GmbH",54,business,trade,REAL_ESTATE,exact
545,Alfred Keßler & Max Silbermann,54,business,industry,PUBLISHING_AND_PRINTING,exact
547,Alfred Koh,54,business,trade,OTHER,exact
