primary_name,alternative_names,business_type,business_category,registration_date,takeover_date,liquidation_date,other_dates,address,latitude,longitude,geocode_confidence,page_number
A. Bodenheimer & Cie GmbH,A. Bodenheimer & Cie.,metals and metal goods,Industry,1925,,,Eingetragen im Handelsregister/ Gründung 1925Erloschen 1932,"Stresemannstr. 6-8,  Berlin",52.5078248,13.378177,0.3031433907580771,3
A. Bores,,textiles and clothing,,,,,,"Keibelstr.  5,  Berlin",52.5255126,13.4163756,8.875486381318407e-05,3
A. Bornstein & Co,A. Bornstein & Co (22.06.1937)|A. Bornstein & Co,chemicals and pharmaceuticals,Trade,1925,,,Eingetragen im Handelsregister/ Gründung 1925Erloschen 1938,"Spichernstr. 7,  Berlin",52.4975077,13.3324211,8.875486381318407e-05,3
A. Breslauer,A. Breslauer,restaurants,Services,1900,,,Eingetragen im Handelsregister/ Gründung 1900Erloschen 1933,"Marburger Str. 5,  Berlin",52.5026375,13.336413,8.875486381318407e-05,3
A. Bromberger & Co,A. Bromberger & Co,textiles and clothing,Trade,1926,,,Eingetragen im Handelsregister/ Gründung 1926Erloschen 1938,"Bischofstr. 2/3,  Berlin",,,,4
A. Brünn j.,A. Brünn j.,retail shops and department stores,Trade,1886,,,Eingetragen im Handelsregister/ Gründung 1886Erloschen 1940,"Berliner Allee 29/31,  Berlin",52.5512491,13.4636464,0.2792976647232802,4
A. Busse & Co AG,A. Busse & Co AG,banks and insurance,Trade,1900,,,Eingetragen im Handelsregister/ Gründung 1900Besitzübernahme 1938,"Französische Str. 24,  Berlin",52.5147135,13.3904735,8.875486381318407e-05,4
A. Caminer & Co,A. Caminer & Co (01.09.1938)|A. Caminer & Co (01.12.1937),Nahrungs- und Genussmittel,Trade,1937,,,Eingetragen im Handelsregister/ Gründung 1937Erloschen 1939,"Barbarossastr. 41,  Berlin",52.4921479,13.3409275,8.875486381318407e-05,4
A. Chill & Co,A. Chill & Co,Nahrungs- und Genussmittel,Trade,1921,,,Eingetragen im Handelsregister/ Gründung 1921Erloschen 1938,"Hollmannstr. 16,  Berlin 
    
                                                                                          Ritterstr. 126,   
    
                                                                                          Gipsstr. 11,   
    
                                                                                          Grimmstr. 21,   
    
                                                                                          Willdenwostr. 22,   
    
                                                                                          An der Spandauer Brücke 13,",,,,4
A. Christ GmbH,A. Christ GmbH,,,,,,Erloschen 1939,",  Berlin",52.510885,13.3989367,0.840425236063765,4
A. Damitt,A. Damitt GmbH (03.03.1932)|A. Damitt,Möbel,Trade,1901,,,Eingetragen im Handelsregister/ Gründung 1901Erloschen 1939,"Rosenthaler Str. 46/47,  Berlin",52.5245938,13.4032424,0.1701980914815837,4
A. Damitt Inkasso GmbH,A. Damitt Inkasso GmbH,Möbel,Trade,1931,,,Eingetragen im Handelsregister/ Gründung 1931Besitzübernahme 1938Erloschen 1938,"Rosenthaler Str. 46,  Berlin",52.5244635,13.4032104,8.875486381318407e-05,4
A. Davidoff & Co,Nikolai Lasoff (31.05.1941)|A. Davidoff & Co (28.07.1936)|A. Davidoff & Co|A. Davidoff & Co (20.10.1933),Nahrungs- und Genussmittel,Industry,1908,,,Eingetragen im Handelsregister/ Gründung 1908Besitzübernahme 1938,"Potsdamer Str. 64,  Berlin",52.5051329,13.367041,8.875486381318407e-05,4
A. E. Wassermann,A. E. Wassermann (13.04.1935)|A. E. Wassermann,banks and insurance,Trade,1900,,,Eingetragen im Handelsregister/ Gründung 1900Besitzübernahme 1938,"Wilhelmplatz 7,  Berlin",52.4717873,13.3275488,8.875486381318407e-05,4
A. Englard & Co KG,A. Englard & Co KG,other,Trade,1920,,,Eingetragen im Handelsregister/ Gründung 1920Erloschen 1937,"Blumenstr. 81,  Berlin",52.517482,13.4300612,0.19934751714046123,5
A. Ephraim,A. Ephraim,banks and insurance,Trade,1903,,,Eingetragen im Handelsregister/ Gründung 1903Erloschen 1937,"Große Präsidentenstr. 9,  Berlin",52.52333,13.4015005,8.875486381318407e-05,5
A. F. Gohlicke,A. F. Gohlicke,textiles and clothing,Handicraft,1903,,,Eingetragen im Handelsregister/ Gründung 1903Erloschen 1938,"Friedrichstr. 72,  Berlin",52.5132825,13.3895655,8.875486381318407e-05,5
A. Falkenburger & Co,A. Falkenburger & Co,banks and insurance,Trade,1919,,,Eingetragen im Handelsregister/ Gründung 1919Erloschen 1935,"Stülerstr. 13,  Berlin",52.5092499,13.3500105,0.05342208819714653,5
A. Falkowitz & Co,A. Falkowitz & Co (10.01.1935)|A. Falkowitz & Co (27.02.1935),textiles and clothing,Trade,1935,,,Eingetragen im Handelsregister/ Gründung 1935Erloschen 1940,"Charlottenstr. 28,  Berlin",52.5356605,13.2052423,8.875486381318407e-05,5
A. Feurig Apotheke Karl Meyer,A. Feurig Apotheke Karl Meyer,pharmacies,Trade,1911,,,Eingetragen im Handelsregister/ Gründung 1911,"Albertstr. 6,  Berlin",52.4831833,13.3548299,8.875486381318407e-05,5
A. Fricke & Co,A. Fricke & Co (05.07.1938)|A. Fricke & Co,banks and insurance,Trade,1919,,,Eingetragen im Handelsregister/ Gründung 1919Besitzübernahme 1938,"Voßstr. 45,  Berlin",52.5109022,13.3789249,0.34137582715177667,5
A. Goldbruch,,leather and shoes,,,,,,"Kommandantenstr.  66,  Berlin",52.4386254,13.2932509,0.05342208819714653,5
A. Goldmann KG,A. Goldmann KG,construction,,1911,,,Eingetragen im Handelsregister/ Gründung 1911,"Harzburgstr. 3,  Berlin",,,,5
A. Goldstein KG,A. Goldstein KG (01.01.1935),textiles and clothing,Trade,1935,,,Eingetragen im Handelsregister/ Gründung 1935Liquidation ab 1938-07-06 00:00:00Erloschen 1939,"Kommandantenstr. 19,  Berlin",52.4352868,13.2927002,8.875486381318407e-05,5
A. Gompertz GmbH,A. Gompertz GmbH (29.04.1932)|A. Gompertz (04.03.1936),textiles and clothing,Industry,1932,,,Eingetragen im Handelsregister/ Gründung 1932Erloschen 1939,"Kaiser-Wilhelm-Str. 50,  Berlin",52.4336728,13.340773,8.875486381318407e-05,6
A. Grün,,,,,,,,"Kurt-Eckert-Str., Hohenschönhausen ,  Berlin",,,,6
A. Grün & Sohn,A. Grün & Sohn,Nahrungs- und Genussmittel,Trade,1919,,,Eingetragen im Handelsregister/ Gründung 1919Erloschen 1942,"Birkenstr. 14,  Berlin",52.4451887,13.6015588,8.875486381318407e-05,6
A. H. Heymann & Co,A. H. Heymann & Co,banks and insurance,Trade,1901,,,Eingetragen im Handelsregister/ Gründung 1901Erloschen 1937,"Dorotheenstr. 43,  Berlin",52.5186113,13.3888652,8.875486381318407e-05,6
A. Haendler & Co,A. Haendler & Co (01.04.1936),chemicals and pharmaceuticals,Trade,1936,,,Eingetragen im Handelsregister/ Gründung 1936Besitzübernahme 1938Liquidation ab 1938-11-19 00:00:00Erloschen 1943,"Stralauer Allee 17 F,  Berlin",52.4981172,13.4628968,8.875486381318407e-05,6
A. Haubenschild,A. Haubenschild|A. Haubenschild (01.11.1938),textiles and clothing,Trade,1912,,,Eingetragen im Handelsregister/ Gründung 1912Besitzübernahme 1938,"Kommandantenstr. 17,  Berlin",52.4356892,13.2925709,8.875486381318407e-05,6
A. Hefter Fleischwaren-GmbH,A. Hefter Fleischwaren-GmbH (07.06.1932),Nahrungs- und Genussmittel,Trade,1932,,,Eingetragen im Handelsregister/ Gründung 1932,"Potsdamer Str. 76b,  Berlin",52.5050308,13.367747,0.05342208819714653,6
A. Heinemann & Co GmbH,A. Heinemann & Co GmbH,Möbel,Trade,1913,,,Eingetragen im Handelsregister/ Gründung 1913Erloschen 1940,"Wilhelmstr. 106,  Berlin",52.5135268,13.1748723,8.875486381318407e-05,6
A. Helfgott,,textiles and clothing,,,,,,"Kurfürstendamm  67,  Berlin",52.5005721,13.3089197,8.875486381318407e-05,6
A. Herrmann Herstellung von Spezialnähmaschinen GmbH,A. Herrmann Herstellung von Spezialnähmaschinen GmbH (20.11.1933),"machines, motor vehicles & technical articles",Industry,1933,,,Eingetragen im Handelsregister/ Gründung 1933Besitzübernahme 1939,"Paul-Singer-Str. (Grüner Weg - Brauner Weg) 109,  Berlin",,,,6
A. Hoffmann & Co,A. Hoffmann & Co (19.06.1924),textiles and clothing,Trade,1924,,,Eingetragen im Handelsregister/ Gründung 1924Erloschen 1940,"Alexanderstr. 27,  Berlin",52.5189267,13.4181965,8.875486381318407e-05,7
"A. Hoffmann's Verlag Theater-Buch- und Musikalien-Literatur, GmbH","A. Hoffmann's Verlag Theater-Buch- und Musikalien-Literatur, GmbH",publishing and printing,Industry,1918,,,Eingetragen im Handelsregister/ Gründung 1918Erloschen 1934,"Blumenstr. 22,  Berlin",52.5175592,13.4242216,8.875486381318407e-05,7
"A. J. Bernstein & Sohn, KG","A. J. Bernstein & Sohn, KG",banks and insurance,Trade,1912,,,Eingetragen im Handelsregister/ Gründung 1912Liquidation ab 1936-08-26 00:00:00Erloschen 1939,"Französische Str. 13/14,  Berlin",52.5140405,13.3825103,0.3065685497365947,7
A. J. Brodtmann,A. J. Brodtmann,retail shops and department stores,Trade,1919,,,Eingetragen im Handelsregister/ Gründung 1919Erloschen 1937,"Havelstr. 1,  Berlin",52.667937,13.5529044,4.90997177080494e-05,7
A. Jacobsohn & Co,A. Jacobsohn & Co,Möbel,Trade,1902,,,Eingetragen im Handelsregister/ Gründung 1902Erloschen 1940,"Seydelstr. 30,  Berlin",52.510452,13.4032861,0.14170341258693808,7
A. Jandorf & Co,A. Jandorf & Co,retail shops and department stores,Trade,1900,,,Eingetragen im Handelsregister/ Gründung 1900Liquidation ab 1930-12-31 00:00:00Erloschen 1935,"Krausenstr. 46/47,  Berlin",52.5094155,13.3895332,0.05342208819714653,7
A. Kalenscher,,textiles and clothing,,,,,,"Fehrbelliner Str.  7,  Berlin",52.5312012,13.4096557,8.875486381318407e-05,7
A. Kaminsky,A. Kaminsky,textiles and clothing,Trade,1902,,,Eingetragen im Handelsregister/ Gründung 1902Erloschen 1940,"Klosterstr. 97,  Berlin",52.5186603,13.4113815,0.33382026067444703,7
A. Kariel & Co,A. Kariel & Co,textiles and clothing,Trade,1902,,,Eingetragen im Handelsregister/ Gründung 1902Liquidation ab 1938-12-15 00:00:00Erloschen 1938,"Leipziger Str. 101/102,  Berlin",52.5102638,13.3885045,0.4174145723816278,7
A. Krojanker Schuhfabrik Burg GmbH,A. Krojanker Schuhfabrik Burg GmbH|Akro Verwaltungs-GmbH (19.05.1934),leather and shoes,Industry,1924,,,Eingetragen im Handelsregister/ Gründung 1924Besitzübernahme 1934,"Rosenstr. 15,  Berlin",52.4458223,13.5770655,8.875486381318407e-05,7
A. Kuhmercker,,publishing and printing,,,,,,"Maikowskistr.  69,  Berlin",,,,8
A. Lucae,A. Lucae|A. Lucae's Apotheke Hans Wehrmann (12.12.1939)|A. Lucae,pharmacies,Trade,1900,,,Eingetragen im Handelsregister/ Gründung 1900Besitzübernahme 1936,"Unter den Linden 53,  Berlin",52.5164745,13.3853564,8.875486381318407e-05,8
A. Löwi,,,,,,,,"Markgrafenstr.  6,  Berlin",52.5169,13.6126811,8.875486381318407e-05,8
"A. Maaß Söhne, Bankgeschäft","A. Maaß Söhne, Bankgeschäft|A. Maaß Söhne, Bankgeschäft (10.09.1932)",banks and insurance,Trade,1902,,,Eingetragen im Handelsregister/ Gründung 1902Liquidation ab 1933-12-16 00:00:00Erloschen 1934,"Lennéstr. 4,  Berlin",52.5114792,13.3737195,0.05342208819714653,8
A. Magnus,"A. Magnus, Inhaber: A. Becker und M. Grunewald (11.06.1938)|A. Magnus",,,,,,,"Dircksenstr., Stadtbahnbogen 137,  Berlin",,,,8
A. Marcuse & Co,A. Marcuse & Co,Möbel,Industry,1901,,,Eingetragen im Handelsregister/ Gründung 1901Erloschen 1939,"Kottbusser Ufer 43,  Berlin",,,,8
A. Mustroph,A. Mustroph,jewelry and precious metals,Industry,1902,,,Eingetragen im Handelsregister/ Gründung 1902Erloschen 1935,"Charlottenstr. 6,  Berlin",52.5872649,13.4130905,8.875486381318407e-05,8
A. Müller u. A. Müller,A. Müller u. A. Müller,"machines, motor vehicles & technical articles",Trade,1926,,,Eingetragen im Handelsregister/ Gründung 1926Erloschen 1937,"Potsdamer Str. 111,  Berlin",52.4994583,13.3630907,8.875486381318407e-05,8
A. N. Schmidt & Co GmbH,A. N. Schmidt & Co GmbH 5 P/S Lederwaren Reiseartikel (31.05.1932)|A. N. Schmidt & Co GmbH,leather and shoes,Trade,1922,,,Eingetragen im Handelsregister/ Gründung 1922Besitzübernahme 1938Liquidation ab 1939-03-13 00:00:00Erloschen 1940,"Leipziger Str. 124,  Berlin",52.5101116,13.3838459,8.875486381318407e-05,8
A. Neumann & Co,A. Neumann & Co,construction,Handicraft,1902,,,Eingetragen im Handelsregister/ Gründung 1902Erloschen 1936,"Gudrunstr. Platz 11,  Berlin",,,,8
A. Neumann & Söhne,A. Neumann & Söhne,textiles and clothing,Trade,1910,,,Eingetragen im Handelsregister/ Gründung 1910Erloschen 1939,"Charlottenstr. 28,  Berlin",52.5356605,13.2052423,8.875486381318407e-05,9
A. Oehlrich & Co,A. Oehlrich & Co|A. Oehlrich & Co (12.06.1939),construction materials and fuel,Trade,1927,,,Eingetragen im Handelsregister/ Gründung 1927Besitzübernahme 1938Erloschen 1941,"Joachimsthaler Str. 10,  Berlin",52.503445,13.3308958,8.875486381318407e-05,9
A. Offenberg & Söhne,A. Offenberg & Söhne,"machines, motor vehicles & technical articles",Trade,1916,,,Eingetragen im Handelsregister/ Gründung 1916Erloschen 1941,"Rosenthaler Str. 40/41,  Berlin",52.5250039,13.4019817,8.875486381318407e-05,9
A. Palis Nachf.,A. Palis Nachf.,Nahrungs- und Genussmittel,Trade,1900,,,Eingetragen im Handelsregister/ Gründung 1900Erloschen 1939,"Mittenwalder Str. 6,  Berlin",52.4939207,13.3970004,8.875486381318407e-05,9
A. Palm & Co,A. Palm & Co|A. Palm & Co,textiles and clothing,Trade,1929,,,Eingetragen im Handelsregister/ Gründung 1929Erloschen 1937,"Sybelstr. 40,  Berlin",52.5018128,13.2987807,8.875486381318407e-05,9
A. Racusin & Co,A. Racusin & Co (05.02.1919)|A. Racusin & Co (07.03.1929),metals and metal goods,Trade,1919,,,Eingetragen im Handelsregister/ Gründung 1919Liquidation ab 1939-03-17 00:00:00Erloschen 1940,"Markgrafenstr. 21,  Berlin",52.5166199,13.6126971,8.875486381318407e-05,9
A. Reich & Co,A. Reich & Co (01.09.1935),Nahrungs- und Genussmittel,Industry,1935,,,Eingetragen im Handelsregister/ Gründung 1935Erloschen 1940,"Bayreuther Str. 12,  Berlin",52.5009922,13.343395,0.05342208819714653,9
A. Ritter Nachfolger Apotheker Otto Kraushaar,A. Ritter Nachfolger Apotheker Otto Kraushaar,pharmacies,Trade,1903,,,Eingetragen im Handelsregister/ Gründung 1903Erloschen 1936,"Königgrätzer Str.  (Saarlandstr.) 105,  Berlin",,,,9
A. Rosenthal Nachf.,A. Rosenthal Nachf.,paper and paper goods,Trade,1901,,,Eingetragen im Handelsregister/ Gründung 1901Erloschen 1938,"Kaiser-Wilhelm-Str. 53,  Berlin",52.4337191,13.3417042,8.875486381318407e-05,9
A. Saalfeld & Co,A. Saalfeld & Co (01.06.1934)|A. Saalfeld & Co (27.10.1934),textiles and clothing,Industry,1934,,,Eingetragen im Handelsregister/ Gründung 1934Erloschen 1936,"Mohrenstr. 29/30,  Berlin",52.511298,13.3847578,0.32314590312055647,9
A. Schreiber & Co,A. Schreiber & Co (15.10.1935),metals and metal goods,Trade,1937,,,Eingetragen im Handelsregister/ Gründung 1937Erloschen 1940,"Friedrichstr. 187/188,  Berlin",52.5043546,13.3908887,0.4683814607413573,10
A. Schäfer Spedition & Möbeltransport,A. Schäfer Spedition & Möbeltransport|A. Schäfer Spedition & Möbeltransport (24.06.1939),transportation,Services,1851,,,Eingetragen im Handelsregister/ Gründung 1851Besitzübernahme 1939,"Wilhelmsaue 36,  Berlin",52.4856913,13.3175281,8.875486381318407e-05,10
A. Schön & Co,A. Schön & Co Alleininhaber Jacob Silbermann (28.01.1936)|A. Schön & Co (08.12.1933),leather and shoes,Trade,1933,,,Eingetragen im Handelsregister/ Gründung 1933Liquidation ab 1938-10-09 00:00:00Erloschen 1940,"Neue Schönhauser Str. 16,  Berlin",52.5245831,13.4052895,8.875486381318407e-05,10
A. Seydel & Cie AG,A. Seydel & Cie AG,publishing and printing,Industry,1922,,,Eingetragen im Handelsregister/ Gründung 1922Erloschen 1937,"Teltower Str. 29/30,  Berlin",52.5268906,13.2158612,0.05342208819714653,10
A. Spörer & Co,A. Spörer & Co,textiles and clothing,Trade,1916,,,Eingetragen im Handelsregister/ Gründung 1916Erloschen 1939,"Regensburger Str. 27,  Berlin",52.4956628,13.3360716,8.875486381318407e-05,10
A. Steiner,,,,,,,,"Neue Königstr.  83,  Berlin",52.5277896,13.4234401,0.28651547523719245,10
A. Suponitzki & Co,A. Suponitzki & Co (01.03.1935),textiles and clothing,Industry,1935,,,Eingetragen im Handelsregister/ Gründung 1935Erloschen 1939,"Kaiser-Wilhelm-Str. 33,  Berlin",52.4319641,13.3387133,8.875486381318407e-05,10
A. Sylbertrest,,leather and shoes,,,,,,"Gr. Hamburger Str.  34,  Berlin",52.5259418,13.3988226,8.875486381318407e-05,10
A. Ullendorff & Co,A. Ullendorff & Co|A. Ullendorff & Co (15.08.1919),chemicals and pharmaceuticals,Trade,1919,,,Eingetragen im Handelsregister/ Gründung 1919Besitzübernahme 1938Erloschen 1942,"Prinz-Handjery-Str. 78/80,  Berlin",52.4270961,13.2652277,0.05342208819714653,10
A. V. G. Autoreifen-Vertriebs-Gesellschaft mbH,Osias und Saul Riebenfeld GmbH (25.11.1938)|A. V. G. Autoreifen-Vertriebs-Gesellschaft mbH,"machines, motor vehicles & technical articles",Trade,1930,,,Eingetragen im Handelsregister/ Gründung 1930Besitzübernahme 1938Liquidation ab 1938-01-25 00:00:00Erloschen 1940,"Joachimsthaler Str. 22/23,  Berlin",52.5017981,13.3310627,0.2880153568463523,10
