id,title,address,owner,business_type,registration_info,raw_text,source_url,batch_file,startDate,endDate
business_00173,"Adolf Petrikowski, in Firma Peteko","in Firma Peteko publishing and printing Fürstenwalder Str.  14, Berlin",,,,,,,1900-01-01,1945-12-31
business_00174,Adolf Petrowsky,"Adolf Petrowsky Landsberger Str.  14, Berlin",,,,,,,1900-01-01,1945-12-31
business_00179,Adolf Rosenau & Co,"Raupachstr. 12, Berlin",,,,,,,1900-01-01,1940-12-31
business_00181,Adolf Rosenzweig,"Adolf Rosenzweig pharmacies Oranienburger Str.  39, Berlin",,,,,,,1900-01-01,1945-12-31
business_00183,Adolf Rothschild,"Adolf Rothschild textiles and clothing Oranienburger Str.  50, Berlin",,,,,,,1900-01-01,1945-12-31
business_00195,Adolf Stern jr.,"Dresdner Str. 37, Berlin",,,,,,,1917-01-01,1943-12-31
business_00196,"Adolf Stern, Reg. Baumeister a.D.","construction Lietzenburger Str.  8, Berlin",,,,,,,1900-01-01,1945-12-31
business_00198,Adolf Stängel,"Adolf Stängel Landsberger Str.  21, Berlin",,,,,,,1900-01-01,1945-12-31
business_00199,Adolf Tannenbaum,"Adolf Tannenbaum textiles and clothing Britzer Str.  21, Berlin",,,,,,,1900-01-01,1945-12-31
business_00200,Adolf Tauber,"Adolf Tauber leather and shoes Reinickendorfer Str.  50, Berlin",,,,,,,1900-01-01,1945-12-31
business_00206,Adolf Weininger,"Hochhaus am Alexanderplatz  1, Berlin",,,,,,,1900-01-01,1945-12-31
business_00217,Adolph Greiffenhagen,"Dresdner Str. 94, Berlin",,,,,,,1901-01-01,1939-12-31
business_00218,Adolph Kirchner,"Adolph Kirchner chemicals and pharmaceuticals Köpenicker Str.  114, Berlin",,,,,,,1900-01-01,1945-12-31
business_00222,Adolph Lewin Farbspritzerei,"Wusterhausener Str. 14/16, Berlin",,,,,,,1907-01-01,1940-12-31
business_00225,Adolph Rehfeldt & Leo Rehfeldt,"Leo Rehfeldt household goods Nürnberger Str.  27, Berlin",,,,,,,1900-01-01,1945-12-31
business_00227,Adrema Export GmbH,"Alt Moabit 62/63, Berlin",,,,,,,1934-01-01,1937-12-31
business_00228,Adrema Maschinenbau-GmbH,"Alt Moabit 63/63, Berlin",,,,,,,1913-01-01,1934-12-31
business_00229,Adrema-Verwaltungsgesellschaft mbH,"Alt Moabit 62/63, Berlin",,,,,,,1919-01-01,1934-12-31
business_00231,Adrut-Verlag Berger und Lubowski,"Kalkreuthstr. 15, Berlin",,,,,,,1927-01-01,1927-12-31
business_00235,Agenturfirma Julius Lichtstern,"Oranienburger Str. 87/89, Berlin",,,,,,,1915-01-01,1939-12-31
business_00239,Ahage Allgemeine Hotelgesellschaft mbH,"Unter den Linden 45, Berlin",,,,,,,1934-01-01,1936-12-31
business_00242,"Ahlfeld, Georg","Georg textiles and clothing Rosenheimer Str. 16, Berlin",,,,,,,1900-01-01,1945-12-31
business_00243,"Ahrends, Edmund","Wannsee 5, Berlin",,,,,,,1900-01-01,1945-12-31
business_00246,Aktiengesellschaft Lignose,"Molktestr. 1, Berlin",,,,,,,1915-01-01,1934-12-31
business_00256,Albert Bloch,"Dirckesenstr. 50, Berlin",,,,,,,1902-01-01,1937-12-31
business_00262,Albert Carl & Co GmbH,"Dresdner Str. 112, Berlin",,,,,,,1925-01-01,1936-12-31
business_00264,Albert David,"Unter den Linden 39, Berlin",,,,,,,1909-01-01,1939-12-31
business_00265,Albert Deutz,"Neue Ansbacher Str. 11, Berlin",,,,,,,1924-01-01,1938-12-31
business_00280,Albert Herlitz,"Waßmannstr. 15, Berlin",,,,,,,1900-01-01,1938-12-31
business_00286,"Albert Kaufmann, Sachverständiger der Handelskammer","Sachverständiger der Handelskammer Köpenicker Str.  39, Berlin",,,,,,,1900-01-01,1945-12-31
business_00295,"Albert Marx, 50 Jahre alt","Albert Marx, 50 Jahre alt ,  Berlin",,,,,,,1900-01-01,1945-12-31
business_00296,Albert Mautner,"und Genussmittel Prenzlauer Allee  236, Berlin",,,,,,,1900-01-01,1945-12-31
business_00305,Albert Rosenhain Exportgesellschaft mbH,"Leipziger Str. 72/74, Berlin",,,,,,,1936-01-01,1939-12-31
business_00306,Albert Rosenhain GmbH,"Leipziger Str. 72/74, Berlin",,,,,,,1922-01-01,1938-12-31
business_00315,Albert Wallach,"Jerusalemer Str. 63/64, Berlin",,,,,,,1902-01-01,1936-12-31
business_00316,Albert Wisniewski,"( Trade ) Eingetragen im Handelsregister/ Gründung 1928 Erloschen 1939 Potsdamer Str. 82d,  Berlin",,,,,,,1928-01-01,1939-12-31
business_00325,Albula Grundstücksgesellschaft mbH,"Siegmundshof 16, Berlin",,,,,,,1920-01-01,1940-12-31
business_00326,Alcophor. GmbH,"Ringsstr 42, Berlin",,,,,,,1928-01-01,1933-12-31
business_00333,Alex Eisenstädt,"Luisenufer 11, Berlin",,,,,,,1903-01-01,1940-12-31
business_00339,Alex Pander,"Heiligegeiststr. 37, Berlin",,,,,,,1926-01-01,1939-12-31
business_00342,Alex. Mandelbaum,"Nürnberger Str. 37/38, Berlin",,,,,,,1903-01-01,1938-12-31
business_00343,Alexander & Co,"enburger Str. 46, Berlin",,,,,,,1921-01-01,1938-12-31
business_00345,Alexander Beitsch,"Alexander Beitsch textiles and clothing Boxhagener Str.  3, Berlin",,,,,,,1900-01-01,1945-12-31
business_00352,Alexander Hermers,"Hochwildpfad 1, Berlin",,,,,,,1935-01-01,1939-12-31
business_00356,Alexander Jacoby & Co,"Blumeshof 15, Berlin",,,,,,,1909-01-01,1940-12-31
business_00357,Alexander Krawetz,"Alexander Krawetz electrical goods Innsbrucker Str.  28, Berlin",,,,,,,1900-01-01,1945-12-31
business_00373,Alfons Goldstein,"Eisenacher Str. 32/33, Berlin",,,,,,,1919-01-01,1938-12-31
business_00374,Alfons Hopp,"Alfons Hopp Möbel Potsdamer Str.  82, Berlin",,,,,,,1900-01-01,1945-12-31
business_00379,Alfons Tausk,"Alfons Tausk publishing and printing Köpenicker Str.  74, Berlin",,,,,,,1900-01-01,1945-12-31
business_00381,Alfred Abraham,"Mendelsohnstr.  9, Berlin",,,,,,,1900-01-01,1945-12-31
business_00394,Alfred Brüll,"technical articles Bamberger Str. 19, Berlin",,,,,,,1900-01-01,1945-12-31
business_00401,Alfred Dienstfertig & Co,"Unter den Linden 40/41, Berlin",,,,,,,1927-01-01,1935-12-31
business_00409,Alfred F. Meyer,"Kalkreuthstr. 10, Berlin",,,,,,,1926-01-01,1937-12-31
business_00422,Alfred Frank,"Heiligegeiststr. 6, Berlin",,,,,,,1917-01-01,1938-12-31
business_00427,Alfred H. Hieronymus,"und Genussmittel Kaiserallee  111, Berlin",,,,,,,1900-01-01,1945-12-31
business_00413,Alfred Hirsch,"Ilmenaustr. 2, Berlin",,,,,,,1927-01-01,1939-12-31
business_00418,"Alfred Jacobsohn, Licht und Kraft","Licht und Kraft electrical goods Speyerer Str.  2, Berlin",,,,,,,1900-01-01,1945-12-31
business_00446,Alfred Knopf Getreide & Futtermittel en gros,"Cüstriner Str. 23, Berlin",,,,,,,1923-01-01,1938-12-31
business_00449,Alfred Kronheim & Co,"Lothringer Str. 8, Berlin",,,,,,,1919-01-01,1939-12-31
business_00451,Alfred Leiser,"und 79, Berlin",,,,,,,1921-01-01,1940-12-31
business_00460,Alfred M. Caher,"Caher banks and insurance Freisinger Str.  17, Berlin",,,,,,,1900-01-01,1945-12-31
business_00432,Alfred Marcus,"Greifswalder Str. 26/27, Berlin",,,,,,,1910-01-01,1940-12-31
business_00435,Alfred Mayer,"Theaterstraße  12, Berlin",,,,,,,1900-01-01,1945-12-31
business_00436,Alfred Meseritz,"( Trade ) Eingetragen im Handelsregister/ Gründung 1910 Erloschen 1940 Neuenburger Str. 1a,  Berlin",,,,,,,1910-01-01,1940-12-31
business_00471,Alfred Nathusius KG,"Gerichtsstr. 27, Berlin",,,,,,,1938-01-01,1939-12-31
business_00474,Alfred Oschitzki,"Alfred Oschitzki textiles and clothing Choriner Str.  3, Berlin",,,,,,,1900-01-01,1945-12-31
business_00477,Alfred Preusser Nachflg.,"Landwehrstr. 11, Berlin",,,,,,,1905-01-01,1905-12-31
business_00487,Alfred Sulke,"Unter den Linden 15, Berlin",,,,,,,1920-01-01,1940-12-31
business_00512,Alice Oelsner,"Alice Oelsner advertising Pfalzburger Str.  72, Berlin",,,,,,,1900-01-01,1945-12-31
business_00513,Alice Weißblum,"blum publishing and printing Passauer Str.  27, Berlin",,,,,,,1900-01-01,1945-12-31
business_00521,Alma Loewenstein,"Alma Loewenstein publishing and printing Heilbronner Str.  25, Berlin",,,,,,,1900-01-01,1945-12-31
business_00522,"Alma Polajewer, in Firma Wäsche-Verleih ""Propre""""""","textiles and clothing Köpenicker Str.  63, Berlin",,,,,,,1900-01-01,1945-12-31
business_00525,"Almus, Alfred","Alfred textiles and clothing Schleswiger Ufer 9, Berlin",,,,,,,1900-01-01,1945-12-31
business_00526,Alois Adler,"Saarlandstr. 6, Berlin",,,,,,,1900-01-01,1945-12-31
business_00529,Alpo-Leder-Company GmbH,"Neue Ansbacher Str. 9, Berlin",,,,,,,1932-01-01,1939-12-31
business_00542,Altenheim Friedrichshagen GmbH,"Altenheim Friedrichshagen GmbH Müggelseedamm 212, Berlin",,,,,,,1900-01-01,1945-12-31
business_00544,Altkunst GmbH,"Unter den Linden 21, Berlin",,,,,,,1917-01-01,1938-12-31
business_00545,Altmann & Gerson,"Lothringer Str. 32, Berlin",,,,,,,1937-01-01,1939-12-31
business_00546,Altschul & Sinzheimer,"Leipziger Str. 71/72, Berlin",,,,,,,1929-01-01,1939-12-31
business_00549,Amalie Fiedler,"Amalie Fiedler leather and shoes Rostocker Str.  37, Berlin",,,,,,,1900-01-01,1945-12-31
business_00531,Amandus Graetz,"Amandus Graetz textiles and clothing Lippehner Str.  29, Berlin",,,,,,,1900-01-01,1945-12-31
business_00536,Ambi Waggon- und Apparatebau AG,"Flugplatzstr. 3, Berlin",,,,,,,1923-01-01,1937-12-31
business_00537,Ambros Wäscherei,"Ambros Wäscherei textiles and clothing Schwäbische Str.  14, Berlin",,,,,,,1900-01-01,1945-12-31
business_00538,Amelie Gorny,"Zentralmarkthalle Stand 132, Berlin",,,,,,,1935-01-01,1939-12-31
business_00555,Anghuli,,,,,,,,1900-01-01,1945-12-31
business_00559,Anna Bornstein,"Reihe  5, Berlin",,,,,,,1900-01-01,1945-12-31
business_00561,Anna Haller,"Gollnowstr.  13, Berlin",,,,,,,1900-01-01,1945-12-31
business_00564,Anna Jaffé,"Kaiserkorso 4, Berlin",,,,,,,1904-01-01,1938-12-31
business_00566,Anna Michalewsky,"Anna Michalewsky textiles and clothing Tharandter Str.  5, Berlin",,,,,,,1900-01-01,1945-12-31
business_00582,Antivenerin GmbH,"Belle-Alliance-Str. 81, Berlin",,,,,,,1921-01-01,1937-12-31
business_00595,Apisdorf u. Co Tabak und Zigarettenfabrik GmbH,"Lothringer Str. 25, Berlin",,,,,,,1925-01-01,1936-12-31
business_00597,Apotecker & Günzburger,"Leipziger Str. 31/32, Berlin",,,,,,,1926-01-01,1939-12-31
business_00623,Armin Katz,"Armin Katz textiles and clothing Ansbacher Str.  8, Berlin",,,,,,,1900-01-01,1945-12-31
business_00624,Arndt & Medina Vertrieb patentierter Neuheiten,"Prinz-Louis-Ferdinand-Str. 5, Berlin",,,,,,,1931-01-01,1939-12-31
business_00629,Arnold A. May,"May Steglitzer Str.  44, Berlin",,,,,,,1900-01-01,1945-12-31
business_00644,Arnold Moses,"Arnold Moses metals and metal goods Marienburger Str.  24, Berlin",,,,,,,1900-01-01,1945-12-31
business_00647,Arnold Naftaniel,"Arnold Naftaniel chemicals and pharmaceuticals Alte Schönhauser Str.  60, Berlin",,,,,,,1900-01-01,1945-12-31
business_00655,Aron Bercovici,"Nürnberger Platz 5, Berlin",,,,,,,1920-01-01,1937-12-31
business_00664,Aron Roschanski,"Aron Roschanski Marburger Str.  12, Berlin",,,,,,,1900-01-01,1945-12-31
business_00665,Aron Rosenberg,"Aron Rosenberg Wilmersdorfer Str.  33, Berlin",,,,,,,1900-01-01,1945-12-31
business_00667,"Aron, George","George textiles and clothing Bamberger Str. 26, Berlin",,,,,,,1900-01-01,1945-12-31
business_00679,Arthur Cassirer Großbuchhandlung und Kleinkunsterzeugnisse,"Gustav-Freitag-Str. 7, Berlin",,,,,,,1922-01-01,1937-12-31
business_00704,Arthur Fabian & Co,"Neuer Markt 16, Berlin",,,,,,,1907-01-01,1938-12-31
business_00707,Arthur Fischer,"Prenzlauer Str. 27, Berlin",,,,,,,1902-01-01,1939-12-31
business_00692,Arthur Geisler,"Arthur Geisler textiles and clothing Ansbacher Str.  42, Berlin",,,,,,,1900-01-01,1945-12-31
business_00695,Arthur Goldberg Edelmetalle,"Elisabethufer 43, Berlin",,,,,,,1921-01-01,1940-12-31
business_00700,Arthur Hirsch,"Bischofstr. 2/3, Berlin",,,,,,,1926-01-01,1935-12-31
business_00681,Arthur Hirschberg,"( Trade ) Eingetragen im Handelsregister/ Gründung 1934 Erloschen 1939 Ostbahnhof ,  Berlin",,,,,,,1934-01-01,1939-12-31
business_00684,Arthur Jacobi,"Saarlandstr. 65, Berlin",,,,,,,1902-01-01,1931-12-31
business_00686,Arthur Karger,"Neuer Markt 16, Berlin",,,,,,,1912-01-01,1939-12-31
business_00732,Arthur Lacher,"Arthur Lacher publishing and printing Lothringer Str.  34, Berlin",,,,,,,1900-01-01,1945-12-31
business_00736,Arthur Leyser,"e Frankfurter Str. 55, Berlin",,,,,,,1911-01-01,1939-12-31
business_00740,Arthur Maass ( Arthur Maaß),"textiles and clothing Holsteiner Ufer  2, Berlin",,,,,,,1900-01-01,1945-12-31
business_00714,Arthur Maschler,"Meinauerstr. 13, Berlin",,,,,,,1936-01-01,1940-12-31
business_00722,Arthur Rainowitz,"( Trade ) Eingetragen im Handelsregister/ Gründung 1922 Erloschen 1938 Nonnendammallee 93a,  Berlin",,,,,,,1922-01-01,1938-12-31
business_00725,Arthur Rotholz,"Arthur Rotholz Alte Schönhauser Str.  57, Berlin",,,,,,,1900-01-01,1945-12-31
business_00767,Arthur Seldis,"Arthur Seldis banks and insurance Meraner Str.  11, Berlin",,,,,,,1900-01-01,1945-12-31
business_00770,Arthur Tobinski,"Arthur Tobinski Badensche Str.  29, Berlin",,,,,,,1900-01-01,1945-12-31
business_00743,Arthur Weißler,"ler Wilmersdorfer Str.  37, Berlin",,,,,,,1900-01-01,1945-12-31
business_00752,Artur Blumenthal,"e Frankfurter Str. 53, Berlin",,,,,,,1919-01-01,1939-12-31
business_00754,Artur Calmon,"Unter den Linden 16, Berlin",,,,,,,1911-01-01,1939-12-31
business_00771,Ary Doctor,"An der Schleuse 12, Berlin",,,,,,,1904-01-01,1938-12-31
business_00772,"Asch, Elsbeth geb. Schmoll","Schmoll Bozener Str. 9, Berlin",,,,,,,1900-01-01,1945-12-31
business_00775,Aschheim & Poetsch,"Neuer Markt 8/12, Berlin",,,,,,,1928-01-01,1931-12-31
business_00776,Asco Cigaretten und Tabakwarenvertrieb Sally Cohn,"Kallstr. 24, Berlin",,,,,,,1933-01-01,1939-12-31
business_00778,Ast & Rupprecht,"Rupprecht textiles and clothing Leipziger Str.  29, Berlin",,,,,,,1900-01-01,1945-12-31
business_00794,Atelier Pein-Baruch Frau Emma Baruch,"Nettelbeckstr. 5, Berlin",,,,,,,1924-01-01,1937-12-31
business_00796,Atelier für Kunstgewerbe AKG,"Atelier für Kunstgewerbe AKG advertising Marburger Str.  6, Berlin",,,,,,,1900-01-01,1945-12-31
business_00799,Atlantis-Film GmbH,"Unter den Linden 16, Berlin",,,,,,,1929-01-01,1934-12-31
business_00781,Atlas-Verlag Dr. Alterthum & Co,"Albrecht-Archilles-Str. 58, Berlin",,,,,,,1926-01-01,1937-12-31
business_00782,Atlas-Verlag GmbH,"Albert-Archilles-Str. 58, Berlin",,,,,,,1933-01-01,1933-12-31
business_00789,"Auerbach, Marie","Marie Aschaffenburger Str. 9, Berlin",,,,,,,1900-01-01,1945-12-31
business_00822,August Burg,"Potsdamer Str. 127/128, Berlin",,,,,,,1900-01-01,1936-12-31
business_00825,August Kuhnen,"5, Berlin",,,,,,,1909-01-01,1909-12-31
business_00827,August Rosenfeld,"Grolmannstr. 21, Berlin",,,,,,,1927-01-01,1937-12-31
business_00828,August Schlothauer Nachfg. GmbH,"( Trade ) Eingetragen im Handelsregister/ Gründung 1935 Besitzübernahme 1938 Urbanhafen ,  Berlin",,,,,,,1935-01-01,1938-12-31
business_00811,Auguste Hennig,"Oppenstr.  30, Berlin",,,,,,,1900-01-01,1945-12-31
business_00814,Auktionshaus am Reichskanzlerplatz GmbH,"Französische Str. 22/23, Berlin",,,,,,,1932-01-01,1939-12-31
business_00818,Auto-Karfunkel,"technische Artikel Köpenicker Str.  180, Berlin",,,,,,,1900-01-01,1945-12-31
business_00801,Autodienst Ehrenhaus,"Autodienst Ehrenhaus electrical goods Genthiner Str.  17, Berlin",,,,,,,1900-01-01,1945-12-31
business_00802,Autogen Gasaccumulator AG,"Johaniterstr. 6, Berlin",,,,,,,1920-01-01,1945-12-31
business_00808,Autoreifen Magazin,"technische Artikel Alt Moabit  130, Berlin",,,,,,,1900-01-01,1945-12-31
business_00834,B. Ambach jr.,"( Trade ) Eingetragen im Handelsregister/ Gründung 1937 Erloschen 1940 Keine Angabe ,  Berlin",,,,,,,1937-01-01,1940-12-31
business_00836,"B. Bud, Vertreter","Fredericastr.  5, Berlin",,,,,,,1900-01-01,1945-12-31
business_00844,B. Hecht,"Kaiserkorso 4, Berlin",,,,,,,1903-01-01,1939-12-31
business_00845,B. Jonassohn,"Jonassohn Xantener Str. 18, Berlin",,,,,,,1900-01-01,1945-12-31
business_00851,B. Mendelsohn & Co,"Luisenufer 39, Berlin",,,,,,,1919-01-01,1937-12-31
business_00855,B. Seiden & Co,"Saarlandstr. 56, Berlin",,,,,,,1920-01-01,1940-12-31
business_00857,B. Sulmann & Co,"Dresdner Str. 50/51, Berlin",,,,,,,1918-01-01,1942-12-31
business_00858,B. Szycmann,"Szycmann Alte Schönhauser Str.  9, Berlin",,,,,,,1900-01-01,1945-12-31
business_00860,B. Wolff,"Alte Schönhauser Str. 23/24, Berlin",,,,,,,1904-01-01,1940-12-31
business_00863,B.R.C. Helvetia e.V.,"und Genussmittel An der Wuhlheide 196, Berlin",,,,,,,1900-01-01,1945-12-31
business_00876,Baermann & Schuster,"Rosenthaler Str. 40/41, Berlin",,,,,,,1903-01-01,1938-12-31
business_00892,Bandelin & Wertheim Radium Licht OHG,"Bendlerstr. 36, Berlin",,,,,,,1900-01-01,1945-12-31
business_00882,Barbetrieb Rane,"Barbetrieb Rane restaurants Kaiserallee  47, Berlin",,,,,,,1900-01-01,1945-12-31
business_00886,Barmat,,,,,,,,1900-01-01,1945-12-31
business_00887,Baron & Co,"Dresdner Str. 97, Berlin",,,,,,,1920-01-01,1941-12-31
business_00904,Baruch May,"Gollnowstr. 13, Berlin",,,,,,,1924-01-01,1940-12-31
business_00910,Bau- und Bodengesellschaft Wannsee mbH,"Am Sandwerder 10, Berlin",,,,,,,1923-01-01,1937-12-31
business_00913,Baugesellschaft Zentrum GmbH,"Belle-Alliance-Str. 7/10, Berlin",,,,,,,1926-01-01,1937-12-31
business_00916,"Baum, Minna","Minna textiles and clothing Essener Str. 24, Berlin",,,,,,,1900-01-01,1945-12-31
business_00918,Baumel,"Baumel Landsberger Str.  14, Berlin",,,,,,,1900-01-01,1945-12-31
business_00919,Baustoffbetrieb des Westens,"Baustoffbetrieb des Westens construction materials and fuel Eislebener Str.  5, Berlin",,,,,,,1900-01-01,1945-12-31
business_00936,Bechhold & Co KG,"Unter den Linden 56, Berlin",,,,,,,1927-01-01,1942-12-31
business_00923,"Behrend, Emil",,,,,,,,1900-01-01,1945-12-31
business_00930,Bekafa Berliner Knopffabrik GmbH,"Fresenwalder Str. 15, Berlin",,,,,,,1929-01-01,1939-12-31
business_00947,"Bekufa Berliner Kunstspeisefett- und Schmalz-Fabrikation, GmbH","Schweinfurther Str. 94, Berlin",,,,,,,1933-01-01,1939-12-31
business_00952,Belle Alliance Apotheke zum weißen Hirsch Dr. Paul Weinreich Nachf.,"Belle-Alliance-Str. 12, Berlin",,,,,,,1905-01-01,1936-12-31
business_00955,Bellevue-Drogerie,"Drogerie chemicals and pharmaceuticals Brückenallee  17, Berlin",,,,,,,1900-01-01,1945-12-31
business_00959,"Benda, Heinrich","Dörnbergstr. 1, Berlin",,,,,,,1900-01-01,1945-12-31
business_00961,"Bendit, Paula, geb. Schwersenz","technische Artikel Blumeshof 15, Berlin",,,,,,,1900-01-01,1945-12-31
business_00962,Bendix & Comp,"Bischofstr. 19/21, Berlin",,,,,,,1901-01-01,1939-12-31
business_00967,Benjamin Goldberg,"Prenzlauer Str. 22, Berlin",,,,,,,1935-01-01,1939-12-31
business_00979,Benno Freifeld,"Benno Freifeld jewelry and precious metals Lothringer Str.  10, Berlin",,,,,,,1900-01-01,1945-12-31
business_00983,Benno Halpern,"Benno Halpern textiles and clothing Pariser Str.  27, Berlin",,,,,,,1900-01-01,1945-12-31
business_00992,Benno Ludmer,"Heiliggeiststr.  39, Berlin",,,,,,,1900-01-01,1945-12-31
business_01000,Benno Samuel,"Meierettostr. 6, Berlin",,,,,,,1918-01-01,1935-12-31
business_01004,Benno Silberberg,"Heiligegeiststr. 22, Berlin",,,,,,,1928-01-01,1941-12-31
business_01006,Benno Simoni,"Benno Simoni textiles and clothing Landsberger Str. 13, Berlin",,,,,,,1900-01-01,1945-12-31
business_01015,Bepa-Verlag Benski & Pakuscher,"Blumeshof 5, Berlin",,,,,,,1924-01-01,1939-12-31
business_01025,Berger & Co,"Elsässer Str. 45/46, Berlin",,,,,,,1925-01-01,1940-12-31
business_01026,"Berger, Eduard","Eduard Eisenacher Str. 79, Berlin",,,,,,,1900-01-01,1945-12-31
business_01027,"Berger, Irma","Irma chemicals and pharmaceuticals Bamberger Str. 37, Berlin",,,,,,,1900-01-01,1945-12-31
business_01028,"Berger, Leopold","Leopold textiles and clothing Flensburger Str. 20, Berlin",,,,,,,1900-01-01,1945-12-31
business_01031,"Bergmann, Gustav","Gustav Wilsnacker Str. 20, Berlin",,,,,,,1900-01-01,1945-12-31
business_01033,Bergthal & Wurmann,"Wurmann textiles and clothing Passauer Str.  38, Berlin",,,,,,,1900-01-01,1945-12-31
business_01035,"Berkowitz, Betty","Betty electrical goods Nymphenburger Str. 11, Berlin",,,,,,,1900-01-01,1945-12-31
business_01036,"Berlak, Milli","Milli Habelschwerdter Allee 7, Berlin",,,,,,,1900-01-01,1945-12-31
business_01037,Berlin-Erfurter Maschinenfabrik Henry Pels & Co AG,"Grolmannstr. 5, Berlin",,,,,,,1927-01-01,1935-12-31
business_01053,Berliner Bank-Institut Joseph Goldschmidt & Co,"Französische Str. 57/58, Berlin",,,,,,,1900-01-01,1938-12-31
business_01054,"Berliner Bazar Fr. Steiler, Inhaber Leopold Stargardter","Wilhelminenstr. 33, Berlin",,,,,,,1922-01-01,1939-12-31
business_01055,Berliner Bettenhaus Franz Schlesinger,"Wilmersdorfer Str. 50/51, Berlin",,,,,,,1919-01-01,1940-12-31
business_01057,Berliner Börsen-Berichte Herausgeber Karfunkelstein & Surel,"Heiligegeiststr. 49, Berlin",,,,,,,1911-01-01,1940-12-31
business_01049,Berliner Furniermesserei GmbH,"Berliner Furniermesserei GmbH Berliner Furniermesserei Goossens, Wennholtz & Co KG (26.02.1937) Berliner Furniermesserei GmbH construction materials and fuel",,,,,,,1931-01-01,1931-12-31
business_01063,Berliner Hermannmühle Berthold Rotholz,"Köpenicker Str. 16/17, Berlin",,,,,,,1922-01-01,1938-12-31
business_01068,Berliner Industriebank KGaA,"Heiligegeiststr. 43/44, Berlin",,,,,,,1924-01-01,1934-12-31
business_01097,Berliner Logenhaus Actien-Gesellschaft,"Kleistraße 10, Berlin",,,,,,,1901-01-01,1901-12-31
