business_name,owner_name,address,main_category,subcategory,detailed_subcategory,founded_year,closed_year,liquidation_date,registration_info,additional_details,confidence_score
A. & B. Kuttner,A. & B. Kuttner,"81, Berlin",trade,Trade,Kuttner leather and shoes,1904,1938,,Eingetragen im Handelsregister/ Gründung 1904 Besitzübernahme 1938 Erloschen 1938 Lothringer Str; Gründung 1904 Besitzübernahme 1938 Erloschen 1938 Lothringer Str; Erloschen 1938 Lothringer Str; Besitzübernahme 1938 Erloschen 1938 Lothringer Str,,0.9
A. & B. Munter's Elektro-Engros-Haus,A. & B. Munter's Elektro-Engros-Haus,"restr. 16, Berlin",trade,Trade,s Elektro-Engros-Haus electrical goods,1928,1940,,Eingetragen im Handelsregister/ Gründung 1928 Erloschen 1940 Courbièrestr; Gründung 1928 Erloschen 1940 Courbièrestr; Erloschen 1940 Courbièrestr,,0.9
A. & B. Schlochauer Grundbesitz AG,A. & B. Schlochauer Grundbesitz AG,"Bismarckstr. 5, Berlin",,,,1923,1932,1932-03-17,Eingetragen im Handelsregister/ Gründung 1923 Liquidation ab 1932-03-17 00:00:00 Erloschen 1932 Bismarckstr; Gründung 1923 Liquidation ab 1932-03-17 00:00:00 Erloschen 1932 Bismarckstr; Erloschen 1932 Bismarckstr; Liquidation ab 1932-03-17 00:00:00 Erloschen 1932 Bismarckstr,Company types: AG,0.9
A. & H. Bukofzer,A. & H. Bukofzer,"Probststr. 10/11, Berlin",industry,Industry,Bukofzer textiles and clothing,1922,1939,1939-01-31,Eingetragen im Handelsregister/ Gründung 1922 Liquidation ab 1939-01-31 00:00:00 Erloschen 1939 Probststr; Gründung 1922 Liquidation ab 1939-01-31 00:00:00 Erloschen 1939 Probststr; Erloschen 1939 Probststr; Liquidation ab 1939-01-31 00:00:00 Erloschen 1939 Probststr,,0.9
A. & H. Kovács,A. & H. Kovács,"Kurfürstendamm 40/41, Berlin",handicraft,Handicraft,cs textiles and clothing,1924,1932,,"Eingetragen im Handelsregister/ Gründung 1924 Erloschen 1932 Kurfürstendamm 40/41,  Berlin; Gründung 1924 Erloschen 1932 Kurfürstendamm 40/41,  Berlin; Erloschen 1932 Kurfürstendamm 40/41,  Berlin",,0.9
A. & I. Schmill,A. & I. Schmill,"Königstr. 61/62, Berlin",trade,Trade,Schmill other,1910,1939,,Eingetragen im Handelsregister/ Gründung 1910 Erloschen 1939 Neue Königstr; Gründung 1910 Erloschen 1939 Neue Königstr; Erloschen 1939 Neue Königstr,,0.9
A. & L. Gumpert,A. & L. Gumpert,"Sybelstr. 43, Berlin",trade,Trade,Gumpert Nahrungs- und Genussmittel,1927,1941,,Eingetragen im Handelsregister/ Gründung 1927 Erloschen 1941 Sybelstr; Gründung 1927 Erloschen 1941 Sybelstr; Erloschen 1941 Sybelstr,,0.9
A. Englard & Co KG,A. Englard & Co KG,"Blumenstr. 81, Berlin",trade,Trade,Englard & Co KG other,1920,1937,,Eingetragen im Handelsregister/ Gründung 1920 Erloschen 1937 Blumenstr; Gründung 1920 Erloschen 1937 Blumenstr; Erloschen 1937 Blumenstr,Company types: KG,0.9
A. Ephraim,A. Ephraim,"Präsidentenstr. 9, Berlin",trade,Trade,Ephraim banks and insurance,1903,1937,,Eingetragen im Handelsregister/ Gründung 1903 Erloschen 1937 Große Präsidentenstr; Gründung 1903 Erloschen 1937 Große Präsidentenstr; Erloschen 1937 Große Präsidentenstr,,0.9
A. F. Gohlicke,,"Friedrichstr. 72, Berlin",handicraft,Handicraft,Gohlicke textiles and clothing,1903,1938,,Eingetragen im Handelsregister/ Gründung 1903 Erloschen 1938 Friedrichstr; Gründung 1903 Erloschen 1938 Friedrichstr; Erloschen 1938 Friedrichstr,,0.9
A. Falkenburger & Co,A. Falkenburger & Co,"Stülerstr. 13, Berlin",trade,Trade,Falkenburger & Co banks and insurance,1919,1935,,Eingetragen im Handelsregister/ Gründung 1919 Erloschen 1935 Stülerstr; Gründung 1919 Erloschen 1935 Stülerstr; Erloschen 1935 Stülerstr,,0.9
A. Falkowitz & Co,A. Falkowitz & Co,"Charlottenstr. 28, Berlin",,10.01.1935,textiles and clothing,1935,1940,,Eingetragen im Handelsregister/ Gründung 1935 Erloschen 1940 Charlottenstr; Gründung 1935 Erloschen 1940 Charlottenstr; Erloschen 1940 Charlottenstr,,0.9
A. Feurig Apotheke Karl Meyer,A. Feurig Apotheke Karl Meyer,"Albertstr. 6, Berlin",trade,Trade,Feurig Apotheke Karl Meyer pharmacies,1911,,,Eingetragen im Handelsregister/ Gründung 1911 Albertstr; Gründung 1911 Albertstr,Business type: Apotheke,0.9
A. Fricke & Co,A. Fricke & Co,"Voßstr. 45, Berlin",,05.07.1938,Fricke & Co banks and insurance,1919,1938,,Eingetragen im Handelsregister/ Gründung 1919 Besitzübernahme 1938 Voßstr; Gründung 1919 Besitzübernahme 1938 Voßstr; Besitzübernahme 1938 Voßstr,,0.9
A. Goldbruch,A. Goldbruch,"Kommandantenstr.  66, Berlin",,,,,,,,,0.9
A. Goldmann KG,A. Goldmann KG,"Harzburgstr. 3, Berlin",,,,1911,,,Eingetragen im Handelsregister/ Gründung 1911 Harzburgstr; Gründung 1911 Harzburgstr,Company types: KG,0.9
A. Goldstein KG,A. Goldstein KG,"Kommandantenstr. 19, Berlin",,01.01.1935,textiles and clothing,1935,1939,1938-07-06,Eingetragen im Handelsregister/ Gründung 1935 Liquidation ab 1938-07-06 00:00:00 Erloschen 1939 Kommandantenstr; Gründung 1935 Liquidation ab 1938-07-06 00:00:00 Erloschen 1939 Kommandantenstr; Erloschen 1939 Kommandantenstr; Liquidation ab 1938-07-06 00:00:00 Erloschen 1939 Kommandantenstr,Company types: KG,0.9
A. Gompertz GmbH,A. Gompertz GmbH,"50, Berlin",,29.04.1932,textiles and clothing,1932,1939,,Eingetragen im Handelsregister/ Gründung 1932 Erloschen 1939 Kaiser-Wilhelm-Str; Gründung 1932 Erloschen 1939 Kaiser-Wilhelm-Str; Erloschen 1939 Kaiser-Wilhelm-Str,Company types: GmbH,0.9
A. Grün,A. Grün,,,,,,,,,,0.9
A. Grün & Sohn,A. Grün & Sohn,"Birkenstr. 14, Berlin",trade,Trade,n & Sohn Nahrungs- und Genussmittel,1919,1942,,Eingetragen im Handelsregister/ Gründung 1919 Erloschen 1942 Birkenstr; Gründung 1919 Erloschen 1942 Birkenstr; Erloschen 1942 Birkenstr,,0.9
A. H. Heymann & Co,,"Dorotheenstr. 43, Berlin",trade,Trade,Heymann & Co banks and insurance,1901,1937,,Eingetragen im Handelsregister/ Gründung 1901 Erloschen 1937 Dorotheenstr; Gründung 1901 Erloschen 1937 Dorotheenstr; Erloschen 1937 Dorotheenstr,,0.9
A. Haendler & Co,A. Haendler & Co,,,01.04.1936,chemicals and pharmaceuticals,1936,1943,1938-11-19,"Eingetragen im Handelsregister/ Gründung 1936 Besitzübernahme 1938 Liquidation ab 1938-11-19 00:00:00 Erloschen 1943 Stralauer Allee 17 F,  Berlin; Gründung 1936 Besitzübernahme 1938 Liquidation ab 1938-11-19 00:00:00 Erloschen 1943 Stralauer Allee 17 F,  Berlin; Erloschen 1943 Stralauer Allee 17 F,  Berlin; Liquidation ab 1938-11-19 00:00:00 Erloschen 1943 Stralauer Allee 17 F,  Berlin; Besitzübernahme 1938 Liquidation ab 1938-11-19 00:00:00 Erloschen 1943 Stralauer Allee 17 F,  Berlin",,0.9
A. Haubenschild,A. Haubenschild,"Kommandantenstr. 17, Berlin",,01.11.1938,textiles and clothing,1912,1938,,Eingetragen im Handelsregister/ Gründung 1912 Besitzübernahme 1938 Kommandantenstr; Gründung 1912 Besitzübernahme 1938 Kommandantenstr; Besitzübernahme 1938 Kommandantenstr,,0.9
A. Hefter Fleischwaren-GmbH,A. Hefter Fleischwaren-GmbH,"( Trade ) Eingetragen im Handelsregister/ Gründung 1932 Potsdamer Str. 76b,  Berlin",,07.06.1932,Nahrungs- und Genussmittel,1932,1932,,Eingetragen im Handelsregister/ Gründung 1932 Potsdamer Str; Gründung 1932 Potsdamer Str,Company types: GmbH,0.9
A. Heinemann & Co GmbH,A. Heinemann & Co GmbH,"Wilhelmstr. 106, Berlin",trade,Trade,bel,1913,1940,,Eingetragen im Handelsregister/ Gründung 1913 Erloschen 1940 Wilhelmstr; Gründung 1913 Erloschen 1940 Wilhelmstr; Erloschen 1940 Wilhelmstr,Company types: GmbH,0.9
A. Helfgott,A. Helfgott,"Helfgott textiles and clothing Kurfürstendamm  67, Berlin",,,,,,,,,0.9
A. Herrmann Herstellung von Spezialnähmaschinen GmbH,A. Herrmann Herstellung von Spezialnähmaschinen GmbH,"109, Berlin",,20.11.1933,"machines, motor vehicles & technical articles",1933,1939,,Eingetragen im Handelsregister/ Gründung 1933 Besitzübernahme 1939 Paul-Singer-Str; Gründung 1933 Besitzübernahme 1939 Paul-Singer-Str; Besitzübernahme 1939 Paul-Singer-Str,Company types: GmbH,0.9
A. Bromberger & Co,A. Bromberger & Co,"Bischofstr. 2/3, Berlin",trade,Trade,Bromberger & Co textiles and clothing,1926,1938,,Eingetragen im Handelsregister/ Gründung 1926 Erloschen 1938 Bischofstr; Gründung 1926 Erloschen 1938 Bischofstr; Erloschen 1938 Bischofstr,,0.9
A. Brünn j.,A. Brünn j.,"Berliner Allee 29/31, Berlin",trade,Trade,retail shops and department stores,1886,1940,,"Eingetragen im Handelsregister/ Gründung 1886 Erloschen 1940 Berliner Allee 29/31,  Berlin; Gründung 1886 Erloschen 1940 Berliner Allee 29/31,  Berlin; Erloschen 1940 Berliner Allee 29/31,  Berlin",,0.9
A. Busse & Co AG,A. Busse & Co AG,"24, Berlin",trade,Trade,Busse & Co AG banks and insurance,1900,1938,,Eingetragen im Handelsregister/ Gründung 1900 Besitzübernahme 1938 Französische Str; Gründung 1900 Besitzübernahme 1938 Französische Str; Besitzübernahme 1938 Französische Str,Company types: AG,0.9
A. Caminer & Co,A. Caminer & Co,"Barbarossastr. 41, Berlin",,01.09.1938,Nahrungs- und Genussmittel,1937,1939,,Eingetragen im Handelsregister/ Gründung 1937 Erloschen 1939 Barbarossastr; Gründung 1937 Erloschen 1939 Barbarossastr; Erloschen 1939 Barbarossastr,,0.9
A. Chill & Co,A. Chill & Co,"Hollmannstr. 16, Berlin",trade,Trade,Chill & Co Nahrungs- und Genussmittel,1921,1938,,Eingetragen im Handelsregister/ Gründung 1921 Erloschen 1938 Hollmannstr; Gründung 1921 Erloschen 1938 Hollmannstr; Erloschen 1938 Hollmannstr,,0.9
A. Christ GmbH,A. Christ GmbH,"A. Christ GmbH A. Christ GmbH Erloschen 1939 ,  Berlin",,,,1939,1939,,"Erloschen 1939 ,  Berlin",Company types: GmbH,0.9
A. Damitt,A. Damitt,"46/47, Berlin",,03.03.1932,bel,1901,1939,,Eingetragen im Handelsregister/ Gründung 1901 Erloschen 1939 Rosenthaler Str; Gründung 1901 Erloschen 1939 Rosenthaler Str; Erloschen 1939 Rosenthaler Str,Company types: GmbH,0.9
A. Damitt Inkasso GmbH,A. Damitt Inkasso GmbH,"46, Berlin",trade,Trade,bel,1931,1938,,Eingetragen im Handelsregister/ Gründung 1931 Besitzübernahme 1938 Erloschen 1938 Rosenthaler Str; Gründung 1931 Besitzübernahme 1938 Erloschen 1938 Rosenthaler Str; Erloschen 1938 Rosenthaler Str; Besitzübernahme 1938 Erloschen 1938 Rosenthaler Str,Company types: GmbH,0.9
A. Davidoff & Co,A. Davidoff & Co,"64, Berlin",,31.05.1941,Nahrungs- und Genussmittel,1908,1938,,Eingetragen im Handelsregister/ Gründung 1908 Besitzübernahme 1938 Potsdamer Str; Gründung 1908 Besitzübernahme 1938 Potsdamer Str; Besitzübernahme 1938 Potsdamer Str,,0.9
A. E. Wassermann,,"Wilhelmplatz 7, Berlin",,13.04.1935,Wassermann banks and insurance,1900,1938,,"Eingetragen im Handelsregister/ Gründung 1900 Besitzübernahme 1938 Wilhelmplatz 7,  Berlin; Gründung 1900 Besitzübernahme 1938 Wilhelmplatz 7,  Berlin; Besitzübernahme 1938 Wilhelmplatz 7,  Berlin",,0.9
A. Hoffmann & Co,A. Hoffmann & Co,"Alexanderstr. 27, Berlin",,19.06.1924,textiles and clothing,1924,1940,,Eingetragen im Handelsregister/ Gründung 1924 Erloschen 1940 Alexanderstr; Gründung 1924 Erloschen 1940 Alexanderstr; Erloschen 1940 Alexanderstr,,0.9
"A. Hoffmann's Verlag Theater-Buch- und Musikalien-Literatur, GmbH","A. Hoffmann's Verlag Theater-Buch- und Musikalien-Literatur, GmbH","Blumenstr. 22, Berlin",industry,Industry,"s Verlag Theater-Buch- und Musikalien-Literatur, GmbH publishing and printing",1918,1934,,Eingetragen im Handelsregister/ Gründung 1918 Erloschen 1934 Blumenstr; Gründung 1918 Erloschen 1934 Blumenstr; Erloschen 1934 Blumenstr,Company types: GmbH; Business type: Verlag,0.9
"A. J. Bernstein & Sohn, KG",Französische Str,"13/14, Berlin",trade,Trade,"Bernstein & Sohn, KG banks and insurance",1912,1939,1936-08-26,Eingetragen im Handelsregister/ Gründung 1912 Liquidation ab 1936-08-26 00:00:00 Erloschen 1939 Französische Str; Gründung 1912 Liquidation ab 1936-08-26 00:00:00 Erloschen 1939 Französische Str; Erloschen 1939 Französische Str; Liquidation ab 1936-08-26 00:00:00 Erloschen 1939 Französische Str,Company types: KG,0.9
A. J. Brodtmann,,"Havelstr. 1, Berlin",trade,Trade,Brodtmann retail shops and department stores,1919,1937,,Eingetragen im Handelsregister/ Gründung 1919 Erloschen 1937 Havelstr; Gründung 1919 Erloschen 1937 Havelstr; Erloschen 1937 Havelstr,,0.9
A. Jacobsohn & Co,A. Jacobsohn & Co,"Seydelstr. 30, Berlin",trade,Trade,bel,1902,1940,,Eingetragen im Handelsregister/ Gründung 1902 Erloschen 1940 Seydelstr; Gründung 1902 Erloschen 1940 Seydelstr; Erloschen 1940 Seydelstr,,0.9
A. Jandorf & Co,A. Jandorf & Co,"Krausenstr. 46/47, Berlin",trade,Trade,Jandorf & Co retail shops and department stores,1900,1935,1930-12-31,Eingetragen im Handelsregister/ Gründung 1900 Liquidation ab 1930-12-31 00:00:00 Erloschen 1935 Krausenstr; Gründung 1900 Liquidation ab 1930-12-31 00:00:00 Erloschen 1935 Krausenstr; Erloschen 1935 Krausenstr; Liquidation ab 1930-12-31 00:00:00 Erloschen 1935 Krausenstr,,0.9
A. Kalenscher,A. Kalenscher,"7, Berlin",,,,,,,,,0.9
A. Kaminsky,A. Kaminsky,"Klosterstr. 97, Berlin",trade,Trade,Kaminsky textiles and clothing,1902,1940,,Eingetragen im Handelsregister/ Gründung 1902 Erloschen 1940 Klosterstr; Gründung 1902 Erloschen 1940 Klosterstr; Erloschen 1940 Klosterstr,,0.9
A. Kariel & Co,A. Kariel & Co,"101/102, Berlin",trade,Trade,Kariel & Co textiles and clothing,1902,1938,1938-12-15,Eingetragen im Handelsregister/ Gründung 1902 Liquidation ab 1938-12-15 00:00:00 Erloschen 1938 Leipziger Str; Gründung 1902 Liquidation ab 1938-12-15 00:00:00 Erloschen 1938 Leipziger Str; Erloschen 1938 Leipziger Str; Liquidation ab 1938-12-15 00:00:00 Erloschen 1938 Leipziger Str,,0.9
A. Krojanker Schuhfabrik Burg GmbH,A. Krojanker Schuhfabrik Burg GmbH,"Rosenstr. 15, Berlin",,19.05.1934,leather and shoes,1924,1934,,Eingetragen im Handelsregister/ Gründung 1924 Besitzübernahme 1934 Rosenstr; Gründung 1924 Besitzübernahme 1934 Rosenstr; Besitzübernahme 1934 Rosenstr,Company types: GmbH,0.9
A. Neumann & Söhne,A. Neumann & Söhne,"Charlottenstr. 28, Berlin",trade,Trade,hne textiles and clothing,1910,1939,,Eingetragen im Handelsregister/ Gründung 1910 Erloschen 1939 Charlottenstr; Gründung 1910 Erloschen 1939 Charlottenstr; Erloschen 1939 Charlottenstr,,0.9
A. Oehlrich & Co,A. Oehlrich & Co,"10, Berlin",,12.06.1939,construction materials and fuel,1927,1941,,Eingetragen im Handelsregister/ Gründung 1927 Besitzübernahme 1938 Erloschen 1941 Joachimsthaler Str; Gründung 1927 Besitzübernahme 1938 Erloschen 1941 Joachimsthaler Str; Erloschen 1941 Joachimsthaler Str; Besitzübernahme 1938 Erloschen 1941 Joachimsthaler Str,,0.9
A. Offenberg & Söhne,A. Offenberg & Söhne,"40/41, Berlin",trade,Trade,"hne machines, motor vehicles & technical articles",1916,1941,,Eingetragen im Handelsregister/ Gründung 1916 Erloschen 1941 Rosenthaler Str; Gründung 1916 Erloschen 1941 Rosenthaler Str; Erloschen 1941 Rosenthaler Str,,0.9
A. Palis Nachf.,A. Palis Nachf.,"6, Berlin",trade,Trade,Nahrungs- und Genussmittel,1900,1939,,Eingetragen im Handelsregister/ Gründung 1900 Erloschen 1939 Mittenwalder Str; Gründung 1900 Erloschen 1939 Mittenwalder Str; Erloschen 1939 Mittenwalder Str,,0.9
A. Palm & Co,A. Palm & Co,"Sybelstr. 40, Berlin",trade,Trade,Palm & Co textiles and clothing,1929,1937,,Eingetragen im Handelsregister/ Gründung 1929 Erloschen 1937 Sybelstr; Gründung 1929 Erloschen 1937 Sybelstr; Erloschen 1937 Sybelstr,,0.9
A. Racusin & Co,A. Racusin & Co,"Markgrafenstr. 21, Berlin",,05.02.1919,metals and metal goods,1919,1940,1939-03-17,Eingetragen im Handelsregister/ Gründung 1919 Liquidation ab 1939-03-17 00:00:00 Erloschen 1940 Markgrafenstr; Gründung 1919 Liquidation ab 1939-03-17 00:00:00 Erloschen 1940 Markgrafenstr; Erloschen 1940 Markgrafenstr; Liquidation ab 1939-03-17 00:00:00 Erloschen 1940 Markgrafenstr,,0.9
A. Reich & Co,A. Reich & Co,"12, Berlin",,01.09.1935,Nahrungs- und Genussmittel,1935,1940,,Eingetragen im Handelsregister/ Gründung 1935 Erloschen 1940 Bayreuther Str; Gründung 1935 Erloschen 1940 Bayreuther Str; Erloschen 1940 Bayreuther Str,,0.9
A. Ritter Nachfolger Apotheker Otto Kraushaar,A. Ritter Nachfolger Apotheker Otto Kraushaar,"105, Berlin",trade,Trade,Ritter Nachfolger Apotheker Otto Kraushaar pharmacies,1903,1936,,Eingetragen im Handelsregister/ Gründung 1903 Erloschen 1936 Königgrätzer Str; Gründung 1903 Erloschen 1936 Königgrätzer Str; Erloschen 1936 Königgrätzer Str,,0.9
A. Rosenthal Nachf.,A. Rosenthal Nachf.,"53, Berlin",trade,Trade,paper and paper goods,1901,1938,,Eingetragen im Handelsregister/ Gründung 1901 Erloschen 1938 Kaiser-Wilhelm-Str; Gründung 1901 Erloschen 1938 Kaiser-Wilhelm-Str; Erloschen 1938 Kaiser-Wilhelm-Str,,0.9
A. Saalfeld & Co,A. Saalfeld & Co,"Mohrenstr. 29/30, Berlin",,01.06.1934,textiles and clothing,1934,1936,,Eingetragen im Handelsregister/ Gründung 1934 Erloschen 1936 Mohrenstr; Gründung 1934 Erloschen 1936 Mohrenstr; Erloschen 1936 Mohrenstr,,0.9
A. Kuhmercker,A. Kuhmercker,"Maikowskistr.  69, Berlin",,,,,,,,,0.9
A. Lucae,A. Lucae,"Unter den Linden 53, Berlin",,12.12.1939,Lucae pharmacies,1900,1936,,"Eingetragen im Handelsregister/ Gründung 1900 Besitzübernahme 1936 Unter den Linden 53,  Berlin; Gründung 1900 Besitzübernahme 1936 Unter den Linden 53,  Berlin; Besitzübernahme 1936 Unter den Linden 53,  Berlin",Business type: Apotheke,0.9
A. Löwi,Löwi Markgrafenstr,"Markgrafenstr.  6, Berlin",,,,,,,,,0.9
"A. Maaß Söhne, Bankgeschäft","A. Maaß Söhne, Bankgeschäft","4, Berlin",,10.09.1932,banks and insurance,1902,1934,1933-12-16,Eingetragen im Handelsregister/ Gründung 1902 Liquidation ab 1933-12-16 00:00:00 Erloschen 1934 Lennéstr; Gründung 1902 Liquidation ab 1933-12-16 00:00:00 Erloschen 1934 Lennéstr; Erloschen 1934 Lennéstr; Liquidation ab 1933-12-16 00:00:00 Erloschen 1934 Lennéstr,Business type: Bankgeschäft,0.9
A. Magnus,A. Magnus,"Stadtbahnbogen 137, Berlin",,11.06.1938,,1938,,,,,0.9
A. Marcuse & Co,A. Marcuse & Co,"Kottbusser Ufer 43, Berlin",industry,Industry,bel,1901,1939,,"Eingetragen im Handelsregister/ Gründung 1901 Erloschen 1939 Kottbusser Ufer 43,  Berlin; Gründung 1901 Erloschen 1939 Kottbusser Ufer 43,  Berlin; Erloschen 1939 Kottbusser Ufer 43,  Berlin",,0.9
