ID,Title,Original Address,Issue
business_02720,Feinkost Pförtner,"Feinkost Pförtner Nahrungs- und Genussmittel Am Bayerischen Platz, Berlin",business_type_removed
business_02721,Feinkost Richter,"und Genussmittel Siegmundshof  22, Berlin",partial_address
business_02723,Feinkost-Meyer,"und Genussmittel Kurfürstendamm  197, Berlin",partial_address
business_02770,Felsenberg,"Felsenberg Nahrungs- und Genussmittel Kaiser-Friedrich-Str.  41, Berlin",multiple_spaces_fixed
business_02771,Felske & Kantorowicz,"Siegmundshof 15, Berlin",clean
business_02830,Forgatsch,"Forgatsch Nahrungs- und Genussmittel Badensche Str.  13, Berlin",multiple_spaces_fixed
business_03009,Fritz Wachsmuth,"Fritz Wachsmuth Nahrungs- und Genussmittel Bayerische Str.  32, Berlin","business_type_removed,multiple_spaces_fixed"
business_03041,"G. Fränkel (früher behördl. Dolmetscher, ehem. Prokurist)",,empty
business_03198,Gebrüder Braude GmbH,"Siegmundshof 16, Berlin",clean
business_03450,Geschwister Salomon,"und Genussmittel Prager Platz  5, Berlin",partial_address
business_03476,Getreide-Verwertung AG,,empty
business_03577,Großwäscherei Riebe,,empty
business_03793,Hael-Werkstätten für künstlerische Keramik GmbH,,empty
business_03798,"Hahn, Samuel","Samuel Nahrungs- und Genussmittel Eisenacher Str. 87, Berlin",business_type_removed
business_03859,Hans Jacob Bornstein,,empty
business_03875,Hans Max Samuel Kirstein,,empty
business_03970,Heinrich Apisdorf,"Heinrich Apisdorf Nahrungs- und Genussmittel Lothringer Str.  25, Berlin","business_type_removed,multiple_spaces_fixed"
business_04086,Helfft & Friedländer,,empty
business_04075,Helphand,,empty
business_04212,Hermann Jontofsohn,,empty
business_04290,Hermann und Hertha Hirschberg,"Hermann und Hertha Hirschberg photography and film Passauer Str.  4, Berlin","business_type_removed,multiple_spaces_fixed"
business_04373,Hirsch Solländer,,empty
business_04408,"Horwitz, James","James Nahrungs- und Genussmittel Apostel-Paulus-Str. 20, Berlin",business_type_removed
business_04503,Hulda Rosenkranz,"Hulda Rosenkranz Nahrungs- und Genussmittel Kaiser-Friedrich-Str.  80, Berlin","business_type_removed,multiple_spaces_fixed"
business_04506,Hundesalon,"Hundesalon Brandenburgische Str.  33, Berlin",multiple_spaces_fixed
business_04609,Interessengemeinschaft von Bauhandwerkern und Lieferfirmen der früheren Fritz Klein AG GmbH,,empty
business_04617,Invention Gesellschaft für Verwaltung und Verwertung chemisch-technischer Patente GmbH,,empty
business_04700,"Italiener, Jenö","Italiener, Jenö Nahrungs- und Genussmittel Elberfelder Str. 28, II.,,  Berlin","business_type_removed,multiple_spaces_fixed"
business_04729,J. Brisgelsky,"Brisgelsky metals and metal goods Siegmundshof  12, Berlin","business_type_removed,multiple_spaces_fixed"
business_04778,J. H. Waßer,"Siegmundshof 99, Berlin",clean
business_04815,J. Schneider & Co GmbH,,empty
business_04977,Jaromir Herz,"Jaromir Herz Nahrungs- und Genussmittel Putbusser Str.  7, Berlin","business_type_removed,multiple_spaces_fixed"
business_04991,Jellenick,,empty
business_05235,Julius Josephsohn,"Julius Josephsohn Nahrungs- und Genussmittel Augsburger Str.  60, Berlin","business_type_removed,multiple_spaces_fixed"
business_05335,"K. Schulz, vormals: W. Finger","Nahrungs- und Genussmittel Innsbrucker Str.  6, Berlin",multiple_spaces_fixed
business_05376,"Karfunkelstein, Ernst","und Genussmittel Berliner Allee 237, Berlin",partial_address
business_05380,Karl Abrahamowsky,"Karl Abrahamowsky Nahrungs- und Genussmittel Altonaer Str.  3, Berlin","business_type_removed,multiple_spaces_fixed"
business_05395,Karl Dietrich Schreibmaschinen-Automaten,,empty
business_05405,Karl Köhler & Co Literarischer Verlag,"Hundekehlenstr. 10, Berlin",clean
business_05519,"Kohn, Kurt","Kohn, Kurt Maschinen und Fahrzeuge, technische Artikel Bamberger Str. 46, Gth. IV.,,  Berlin","business_type_removed,multiple_spaces_fixed"
business_05522,Konfiserie 'Kino-Wittelsbach',"Nahrungs- und Genussmittel Berliner Str.  166, Berlin",multiple_spaces_fixed
business_05558,"Kramer, Auguste, geb. Pannwitz","Pannwitz Nahrungs- und Genussmittel Elberfelder Str. 29, Berlin",business_type_removed
business_05585,Kuchen-und Keksbäckerei Bergmann,"Kuchen-und Keksbäckerei Bergmann Nahrungs- und Genussmittel Breite Str.  15, Berlin","business_type_removed,multiple_spaces_fixed"
business_05623,Kurt Herzog,"Kurt Herzog Nahrungs- und Genussmittel Eberswalder Str.  35, Berlin","business_type_removed,multiple_spaces_fixed"
business_05663,Kurt Schenkolewski,,empty
business_05684,"Königlich Privilegierte Berlinische Zeitung von Staats- und gelehrten Sachen, Vossische Zeitung. Im Verlage Vossischer Erben GmbH","Berlinische Zeitung von Staats- und gelehrten Sachen, Vossische Zeitung. Im Verlage Vossischer Erben GmbH Königlich Privilegierte Berlinische Zeitung von Staats- und gelehrten Sachen","business_type_removed,berlin_suffix_added"
business_05758,Lauenburger Fleischzentrale,"Lauenburger Fleischzentrale Nahrungs- und Genussmittel Lauenburger Str.  12, Berlin","business_type_removed,multiple_spaces_fixed,truncated_street_fixed"
business_05767,Lebensmittel-Engros-Handlung,,empty
business_05852,"Leo Gumpert, Inhaber: Hugo Translateur",,empty
business_06000,Leopold Matthes,,empty
business_06028,"Lewandowski, Lilli","Lilli Nahrungs- und Genussmittel Berliner Str. 33, Berlin",business_type_removed
business_06059,Lidsky-Müller,"Lidsky-Müller Nahrungs- und Genussmittel Rüdesheimer Str.  4, Berlin",multiple_spaces_fixed
business_06069,Likör und Weinhandlung Brauner Weg 100 Else Czwiklitzer,"Likör und Weinhandlung Brauner Weg 100, Berlin",business_type_removed
business_06081,"Lissy Meyersohn, Familienheim Lietzensee",,empty
business_06250,Ludwig Sommerfeld,"Ludwig Sommerfeld construction Kieferngrund  6, Berlin","business_type_removed,multiple_spaces_fixed"
business_06477,Marg. Krumnow,"Krumnow Nahrungs- und Genussmittel Bochumer Str.  7, Berlin","business_type_removed,multiple_spaces_fixed"
business_06515,Markus Billet,"Markus Billet Nahrungs- und Genussmittel Speyerer Str.  26, Berlin","business_type_removed,multiple_spaces_fixed"
business_06585,Martin Horwitz,,empty
business_07019,"Mendel, Alfred","Alfred textiles and clothing Bundesratufer 9, Berlin",business_type_removed
business_07030,Meta Sawady,"Meta Sawady Nahrungs- und Genussmittel Innsbrucker Str.  40, Berlin","business_type_removed,multiple_spaces_fixed"
business_07094,Michael Holzmann,,empty
business_07187,Moritz Lefebre,"Moritz Lefebre Nahrungs- und Genussmittel Lothringer Str.  16, Berlin","business_type_removed,multiple_spaces_fixed"
business_07191,Moritz Vogel,"Moritz Vogel Nahrungs- und Genussmittel Passauer Str.  11, Berlin","business_type_removed,multiple_spaces_fixed"
business_07248,Mozartsaal Theaterbetriebsgesellschaft mbH,,empty
business_07357,Nathan Rubenzik,,empty
business_07360,Nathan Stern,,empty
business_07361,Neederländische Grond- und Kreditbank,,empty
business_07645,Parfümerie und Drogerie am Bayerischen Platz 6 Paul Lustig Nachfolger Erich Wangenheim,"Parfümerie und Drogerie am Bayerischen Platz 6 9, Berlin",business_type_removed
business_07655,Paul Bruckner (Brückner),"Nahrungs- und Genussmittel Bayerische Str.  27, Berlin",multiple_spaces_fixed
business_07779,Pax-Schirme und Handtaschen,"Pax-Schirme und Handtaschen leather and shoes Wilmersdorfer Str.  112, Berlin","business_type_removed,multiple_spaces_fixed"
business_07889,Phonogramm-Verlag GmbH,"Bundesratsufer 11, Berlin",clean
business_07996,R. Brisgelsky,"Brisgelsky Siegmundshof  12, Berlin","business_type_removed,multiple_spaces_fixed"
business_08038,Radiosclerin-Gesellschaft mbH,,empty
business_08067,Regina und Manny Leiser,"Regina und Manny Leiser Wilmersdorfer Str.  36, Berlin","business_type_removed,multiple_spaces_fixed"
business_08087,"Reißner, Wohl & Co GmbH",,empty
business_08098,Restaurant Lucullus,,empty
business_08111,"Ricardo Falero, ""Pasta all' Uovo""""""","Nahrungs- und Genussmittel Nürnberger Str.  33, Berlin",multiple_spaces_fixed
business_08211,Robert & Hugo Goldstein,"Siegmundshof 6, Berlin",clean
business_08204,Robert Herde,"Robert Herde Nahrungs- und Genussmittel Konstanzer Str.  54, Berlin","business_type_removed,multiple_spaces_fixed"
business_08295,"Rothenberg, Leib","Leib Dortmunder Str. 3, Berlin",business_type_removed
business_08300,Rotterkonzern,,empty
business_08301,Rowag,,empty
business_08390,S. Berkowitz & Sohn,"Bundesratsufer 6, Berlin",clean
business_08414,S. Gelbermann,"Gelbermann Nahrungs- und Genussmittel Speyerer Str.  22, Berlin","business_type_removed,multiple_spaces_fixed"
business_08508,Sally Appel,"Sally Appel Nahrungs- und Genussmittel Ansbacher Str.  38, Berlin","business_type_removed,multiple_spaces_fixed"
business_08557,"Sally Weil, Carlsbader Feinbäckerei","Carlsbader Feinbäckerei Nahrungs- und Genussmittel Köpenicker Str.  114, Berlin","business_type_removed,multiple_spaces_fixed"
business_08576,Salomon Gutherz,,empty
business_08607,Salomonowitsch,,empty
business_08622,Samuel Arthur Lewkowicz,"Samuel Arthur Lewkowicz Nahrungs- und Genussmittel Heilbronner Str.  16, Berlin","business_type_removed,multiple_spaces_fixed"
business_08690,Saul-Zygmunt Weißmann,,empty
business_08740,Schokoladen und Lebensmittel engros Therese Cohn,,empty
business_08826,"Selmann, Schnellfoto-Anstalt",,empty
business_09024,Sigbert Gehr,"Sigbert Gehr Nahrungs- und Genussmittel Ansbacher Str.  9, Berlin","business_type_removed,multiple_spaces_fixed"
business_09111,Sophie Spiegel,"Sophie Spiegel Nahrungs- und Genussmittel Wilmersdorfer Str.  40, Berlin","business_type_removed,multiple_spaces_fixed"
business_09171,Stempel-Kaffee,"und Genussmittel An der Spandauer Brücke  6, Berlin",partial_address
business_09262,Tekla Stern,,empty
business_09467,Versandhaus Stadtpark,"Versandhaus Stadtpark Nahrungs- und Genussmittel Innsbrucker Str.  42, Berlin","business_type_removed,multiple_spaces_fixed"
business_09492,Victor Fischmann,,empty
business_09506,Vineta Keks-und Kuchenbäckerei,"und Genussmittel Schönhauser Allee  85, Berlin",partial_address
business_09559,"Wahrenburg, Erna","Erna Nahrungs- und Genussmittel Belziger Str. 53, Berlin",business_type_removed
business_09591,Walter Michel,,empty
business_09637,Warenhaus Wertheim GmbH,"und 132/137, Berlin",partial_address
business_09652,"Weinreb, Ella, geb. Rottenberg","Rottenberg Nahrungs- und Genussmittel Flensburger Str. 8, Berlin",business_type_removed
business_09692,Wertheim GmbH,"und 132/137, Berlin",partial_address
business_09710,Wiesbadener Immobilien-Erwerbs- und Verwertungs-GmbH,,empty
business_09767,Wilkes & Cie. Aachener Tuchindustrie,"Siegmundshof 3, Berlin",clean
business_09865,Wilmersdorfer Tabak-Zentrale,"Nahrungs- und Genussmittel Berliner Str.  146, Berlin",multiple_spaces_fixed
business_09919,"Wäscheatelier Rado, Anna Sternberg und Susi Rado","Anna Sternberg und Susi Rado textiles and clothing Bochumer Str.  6, Berlin","business_type_removed,multiple_spaces_fixed"
business_09938,Wäscherei Frauenlob,,empty
business_09964,"Zernick, Eugen","Eugen Nahrungs- und Genussmittel Bozener Str. 11, Berlin",business_type_removed
business_09967,"Ziegler, Hermann","Hermann Dortmunder Str. 9, Berlin",business_type_removed
business_10007,von Arnim & Erfurt GmbH,,empty
